no,aspek,temuan,implikasi_penelitian,sumber_output
1,Hasil data cleaning,"Jumlah Kompas berubah dari 10.000 menjadi 9.997 artikel. AG News Train berubah dari 120.000 menjadi 119.817 artikel, sedangkan AG News Test tetap 7.600 artikel.","Seluruh tahap EDA, preprocessing, modeling, evaluasi, dan deployment harus menggunakan dataset setelah cleaning.",cleaning_integrity_summary.csv
2,Kualitas dataset final,"Jumlah nilai teks kosong pada seluruh dataset final adalah 0. Audit akhir juga menunjukkan tidak terdapat duplikat artikel, konflik label, maupun overlap AG News Train-Test.",Dataset final memenuhi pemeriksaan integritas dasar dan dapat digunakan untuk eksperimen tanpa imputasi teks kosong.,missing_value_report.csv; duplicate_report.csv; cleaning_integrity_summary.csv
3,Distribusi kelas Kompas,Dataset Kompas final terdiri dari 9.997 artikel: bola: 2.500; global: 2.500; money: 2.500; tekno: 2.497.,Distribusi kelas hampir seimbang sehingga eksperimen tidak memerlukan oversampling atau undersampling.,class_distribution.csv
4,Distribusi kelas AG News,AG News Train final terdiri dari 119.817 artikel: business: 29.947; sci_tech: 29.917; sports: 29.974; world: 29.979. AG News Test terdiri dari 7.600 artikel: business: 1.900; sci_tech: 1.900; sports: 1.900; world: 1.900.,AG News digunakan sebagai benchmark eksternal dengan distribusi kelas yang tetap sangat seimbang.,class_distribution.csv
5,Karakteristik panjang teks Kompas,"Rata-rata panjang Title, Description, dan Content Kompas masing-masing adalah 10,71 kata, 17,87 kata, dan 330,37 kata.","Title digunakan sebagai representasi paling ringkas, sedangkan Description menyediakan konteks tambahan. Content tidak digunakan dalam skenario final karena jauh lebih panjang dan berpotensi meningkatkan kompleksitas secara tidak proporsional.",text_statistics.csv
6,Pemilihan panjang sequence,"Cakupan Title Kompas pada panjang 20 adalah 100,0000%, sedangkan Title + Description pada panjang 60 mencakup 100,0000%. Pada AG News Train, cakupan Title panjang 20 adalah 100,0000% dan Title + Description panjang 60 adalah 97,5413%. Cakupan gabungan pada AG News Test adalah 97,7500%.","Panjang sequence 20 digunakan untuk skenario Title, sedangkan panjang 60 digunakan untuk skenario Title + Description dan Title + Description + YAKE.",sequence_length_coverage.csv
7,Frekuensi kata keseluruhan,Token teratas pada Kompas adalah 'iran' dengan 2.559 kemunculan. Token teratas pada AG News Train adalah 'world' dengan 8.620 kemunculan.,Frekuensi kata digunakan untuk memahami karakteristik korpus dan tidak diinterpretasikan sebagai feature importance model.,word_frequency_overall.csv
8,Kosakata dominan per kategori,Token dominan Kompas per kategori adalah Bola: liga (760); Global: iran (2.312); Money: harga (786); Tekno: harga (629). Token dominan AG News Train per kategori adalah Business: oil (6.371); Sci/Tech: microsoft (5.135); Sports: game (4.281); World: iraq (5.834).,Perbedaan token dominan menunjukkan bahwa setiap kategori memiliki pola kosakata yang dapat dipelajari oleh CNN dan Attention-BiLSTM.,wordcloud_summary.csv
9,Distribusi temporal Kompas,"Artikel Kompas mencakup periode 2026-01-26 09:01:00 sampai 2026-05-25 19:24:00. Distribusi bulanan adalah 2026-01: 119 (1,19%); 2026-02: 558 (5,58%); 2026-03: 975 (9,75%); 2026-04: 2.956 (29,57%); 2026-05: 5.389 (53,91%). Tanggal teraktif adalah 2026-05-20 dengan 289 artikel dan jam teraktif adalah 15:00–15:59.",Distribusi waktu didokumentasikan sebagai karakteristik dataset hasil crawling dan tidak digeneralisasi sebagai tren produksi berita Kompas secara keseluruhan.,kompas_monthly_distribution.csv; kompas_temporal_summary.csv
10,Skenario representasi teks Kompas,K1 = Title; K2 = Title + [SEP] + Description; K3 = Title + [SEP] + Description + [SEP] + Keyword YAKE,"Eksperimen bertingkat digunakan untuk mengukur kontribusi Description dan keyword YAKE terhadap kinerja klasifikasi. Keyword YAKE diekstraksi dari gabungan Title dan Description, bukan dari Content.",desain eksperimen final
11,Skenario representasi teks AG News,A1 = Title; A2 = Title + [SEP] + Description,AG News hanya diuji menggunakan Title dan Title + Description karena dataset tidak menyediakan Content dan keyword YAKE tidak diterapkan pada benchmark.,desain eksperimen final
12,Implikasi terhadap perbandingan model,"CNN dan Attention-BiLSTM diuji menggunakan split, label mapping, representasi teks, vocabulary, dan panjang sequence yang sama pada setiap skenario.","Pengendalian konfigurasi tersebut memastikan perbedaan hasil terutama berasal dari karakteristik arsitektur model, bukan dari perbedaan data input.",pipeline eksperimen final
