document_id,category,title,description,yake_source_text,keyword_yake_display,keyword_yake_scores,keyword_yake_count
KMP-05651,bola,"Terinspirasi Jose Mourinho, Lewandowski Ingin Barcelona Raih 100 Poin di LaLiga",Robert Lewandowski berhasrat membawa Barcelona meraih 100 poin di akhir musim ini.,terinspirasi jose mourinho lewandowski ingin barcelona raih 100 poin di laliga robert lewandowski berhasrat membawa barcelona meraih 100 poin di akhir musim ini,terinspirasi jose mourinho | membawa barcelona meraih | jose mourinho lewandowski | laliga robert lewandowski | robert lewandowski berhasrat,"[0.00467514, 0.00701671, 0.01177956, 0.01177956, 0.01177956]",5
KMP-04310,bola,"AC Milan Gagal Lolos ke Liga Champions, Allegri: Kami Pantas di Posisi Ini",Massimiliano Allegri menyoroti kegagalan AC Milan lolos ke Liga Champions usai kalah memalukan dari Cagliari 1-2 di San Siro.,ac milan gagal lolos ke liga champions allegri kami pantas di posisi ini massimiliano allegri menyoroti kegagalan ac milan lolos ke liga champions usai kalah memalukan dari cagliari 1 2 di san siro,liga champions usai | usai kalah memalukan | champions usai kalah | milan gagal lolos | liga champions allegri,"[0.00694964, 0.0080958, 0.00911033, 0.01025625, 0.01051815]",5
KMP-04147,bola,Masa Depan Alejandro Grimaldo: antara Besiktas dan Barcelona,"Bek kiri Bayer Leverkusen, Alejandro Grimaldo, dikabarkan akan meninggalkan Bundesliga pada musim panas mendatang.",masa depan alejandro grimaldo antara besiktas dan barcelona bek kiri bayer leverkusen alejandro grimaldo dikabarkan akan meninggalkan bundesliga pada musim panas mendatang,musim panas mendatang | barcelona bek kiri | bek kiri bayer | kiri bayer leverkusen | bayer leverkusen alejandro,"[0.00402081, 0.00672904, 0.00672904, 0.00672904, 0.00737564]",5
KMP-09077,bola,Barcelona Vs Real Madrid: Kisruh Internal Berpotensi Ganggu Fokus Los Blancos,Konflik internal di Real Madrid berpotensi mengganggu fokus Los Blancos jelang lawan Barcelona. Hasil El Clasico ini bisa menentukan juara Barca.,barcelona vs real madrid kisruh internal berpotensi ganggu fokus los blancos konflik internal di real madrid berpotensi mengganggu fokus los blancos jelang lawan barcelona hasil el clasico ini bisa menentukan juara barca,fokus los blancos | menentukan juara barca | los blancos konflik | los blancos jelang | ganggu fokus los,"[0.00432319, 0.00519794, 0.00760677, 0.00760677, 0.00760677]",5
KMP-06042,bola,Prediksi Line Up Burnley Vs Manchester City di Liga Inggris,Jadwal Liga Inggris Burnley vs Manchester City di pekan ke-34 Liga Inggris di Stadion Turf Moor pada hari Rabu (22/4/2026) waktu setempat,prediksi line up burnley vs manchester city di liga inggris jadwal liga inggris burnley vs manchester city di pekan ke 34 liga inggris di stadion turf moor pada hari rabu 22 4 2026 waktu setempat,stadion turf moor | liga inggris jadwal | inggris jadwal liga | jadwal liga inggris | liga inggris burnley,"[0.00362454, 0.00492953, 0.00492953, 0.00492953, 0.00531596]",5
KMP-05745,global,"AS Disalahkan atas Gagalnya Negosiasi, Dinilai Mendikte Iran","Mantan Menteri Luar Negeri Iran, Mohammad Javad Zarif, menyalahkan Amerika Serikat atas kegagalan negosiasi untuk mengakhiri konflik dengan Iran.",as disalahkan atas gagalnya negosiasi dinilai mendikte iran mantan menteri luar negeri iran mohammad javad zarif menyalahkan amerika serikat atas kegagalan negosiasi untuk mengakhiri konflik dengan iran,mantan menteri luar | menteri luar negeri | mohammad javad zarif | javad zarif menyalahkan | zarif menyalahkan amerika,"[0.00296237, 0.00296237, 0.00296237, 0.00296237, 0.00296237]",5
KMP-04315,global,Houthi Yaman Ancam Tutup Selat Bab el-Mandeb jika AS Hambat Perdamaian,Kelompok Houti Yaman mengancam akan menutup Selat Bab el-Mandeb jika AS terus menghambat perdamaian dalam perang Iran.,houthi yaman ancam tutup selat bab el mandeb jika as hambat perdamaian kelompok houti yaman mengancam akan menutup selat bab el mandeb jika as terus menghambat perdamaian dalam perang iran,tutup selat bab | menutup selat bab | houthi yaman ancam | ancam tutup selat | bab el mandeb,"[0.00682334, 0.00682334, 0.00719689, 0.00896592, 0.01140395]",5
KMP-04085,global,Inggris Tak Akan Ikut AS Blokade Iran di Selat Hormuz,Inggris disebut tidak akan terlibat dalam blokade militer AS terhadap Iran di Selat Hormuz.,inggris tak akan ikut as blokade iran di selat hormuz inggris disebut tidak akan terlibat dalam blokade militer as terhadap iran di selat hormuz,selat hormuz inggris | hormuz inggris disebut | iran di selat | selat hormuz | inggris disebut,"[0.01268501, 0.0163096, 0.01905671, 0.01905671, 0.06448324]",5
KMP-09151,global,"Bukan Perangi Iran, Menteri Turkiye Ingatkan Trump Fungsi Asli NATO","Menteri Perdagangan Turkiye Omer Bolat menegaskan, negara-negara anggota NATO tidak memiliki kewajiban untuk membantu AS berperang lawan Iran.",bukan perangi iran menteri turkiye ingatkan trump fungsi asli nato menteri perdagangan turkiye omer bolat menegaskan negara negara anggota nato tidak memiliki kewajiban untuk membantu as berperang lawan iran,ingatkan trump fungsi | trump fungsi asli | omer bolat menegaskan | memiliki kewajiban untuk | kewajiban untuk membantu,"[0.0076099, 0.0076099, 0.0076099, 0.0076099, 0.0076099]",5
KMP-06023,global,"AS Minta Bantuan PBB untuk Buka Selat Hormuz, Sebut Iran Ancam Ekonomi Dunia",AS dan negara Teluk mengusulkan resolusi Dewan Keamanan PBB untuk membela kebebasan navigasi di Selat Hormuz dari cengkeraman Iran.,as minta bantuan pbb untuk buka selat hormuz sebut iran ancam ekonomi dunia as dan negara teluk mengusulkan resolusi dewan keamanan pbb untuk membela kebebasan navigasi di selat hormuz dari cengkeraman iran,ancam ekonomi dunia | negara teluk mengusulkan | teluk mengusulkan resolusi | mengusulkan resolusi dewan | resolusi dewan keamanan,"[0.00753116, 0.00753116, 0.00753116, 0.00753116, 0.00753116]",5
