document_id,category,dataset,scenario_code,scenario_name,component_signature,uses_yake,includes_content,yake_comparison_role,comparison_group,text,word_count,separator_count,split
KMP-06467,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,samsung galaxy s26 ultra bakal punya layar anti mata mata bawaan,11,0,train
KMP-01768,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,sukses eksperimen gabungkan ps5 xbox dan switch 2 jadi satu konsol,11,0,train
KMP-08573,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,elon musk blak blakan sindir dewan perdamaian yang dibentuk trump,10,0,train
KMP-03029,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,jangan salah pilih ini perbedaan tws open ear dan bone conduction,11,0,train
KMP-05984,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,viral gambar how i treat chatgpt di tiktok begini cara bikinnya,11,0,train
KMP-07754,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,perusahaan china kasih cuti 10 hari buat karyawan yang gak mood,11,0,train
KMP-00830,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,pesan bos nvidia untuk pemimpin negara bangun ai sendiri atau tertinggal,11,0,train
KMP-06268,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,spesifikasi dan harga redmi note 15 pro plus di indonesia,10,0,train
KMP-06364,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,perbandingan spesifikasi redmi note 15 pro dan redmi note 15 pro plus,12,0,train
KMP-07443,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,kerja terlalu lama di depan layar waspadai computer vision syndrome,10,0,train
KMP-00991,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,aturan baru komdigi soal sim card maksimal 3 kartu dan wajib biometrik,12,0,train
KMP-08232,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,meski fituristik 5 produk canggih ini gagal dan hilang dari pasaran,11,0,train
KMP-09306,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,kesan saya saat pertama kali memegang infinix note edge tipis melengkung dan terasa premium,14,0,train
KMP-08544,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,bocoran iphone 18 pro kamera pindah posisi lensa bisa membesar mengecil,11,0,train
KMP-04832,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,jeff bezos wanti wanti gen z jangan buru buru bikin startup mending kerja dulu,14,0,train
KMP-08212,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,apple airtag generasi kedua meluncur jangkauan lebih luas harga tetap sama,11,0,train
KMP-07852,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,aturan registrasi kartu sim berubah ini data yang diambil sekarang,10,0,train
KMP-09688,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,emoji baru 2026 bocor ada pickle meteor dan 7 ikon unik yang siap ramaikan chat,15,0,validation
KMP-09728,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,server tiktok mati listrik fyp pengguna mendadak jadi aneh aneh,10,0,train
KMP-05380,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,2 cara registrasi sim card biometrik ini langkah lengkapnya,9,0,train
KMP-08081,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,prompt bikin gambar how i treat chatgpt yang viral di medsos,11,0,train
KMP-09003,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,laptop tecno megabook t14 air resmi di indonesia punya bodi tipis dan ringan,13,0,train
KMP-01831,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,5 alasan beli airtag 2 ini bedanya dari yang pertama,10,0,train
KMP-06600,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,mau ganti nada dering whatsapp jadi sebut nama sendiri ikuti cara ini,12,0,train
KMP-00731,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,selamat ulang tahun ke 100 televisi dirakit dari benda sederhana sekarang smart semua,13,0,train
KMP-01044,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,pakai paylater ini tips melindungi data pribadi agar tak disalahgunakan,10,0,train
KMP-04890,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,alibaba rilis qwen3 max thinking model ai baru penantang gpt 5 2 dan gemini 3 pro,16,0,train
KMP-00561,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,sebelum kroak ini logo pertama apple dengan buah apel yang tidak digigit,12,0,train
KMP-07206,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,microsoft rilis maia 200 chip khusus ai berfabrikasi 3 nm,10,0,validation
KMP-08407,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,harga dan spesifikasi oppo reno 15 pro max di indonesia,10,0,train
KMP-05499,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,merasa wajah terlihat aneh saat selfie di hp ada penjelasannya,10,0,test
KMP-06857,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,harga ssd bersiap naik ini biang keroknya,7,0,train
KMP-07221,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,meta digugat chat whatsapp disebut bisa diintip,7,0,train
KMP-00508,tekno,Kompas,K1,Title,title_preprocessed,False,False,not_applicable,representation_ablation,tiktoker khaby lame cetak rekor pecahkan transaksi bisnis terbesar sebagai kreator konten,12,0,train
