document_id,dataset,scenario_code,scenario_name,category,text,word_count
KMP-04123,Kompas,K1,Title,tekno,meta youtube dan tiktok buka suara soal aturan blokir akun medsos anak di indonesia,14
KMP-04066,Kompas,K1,Title,tekno,hp poco x8 pro dan x8 pro max resmi di indonesia ini harganya,13
KMP-01732,Kompas,K1,Title,global,benarkah timur tengah berlomba kembangkan nuklir imbas perang iran,9
KMP-04123,Kompas,K2,Title + Description,tekno,meta youtube dan tiktok buka suara soal aturan blokir akun medsos anak di indonesia [SEP] meta mendukung kebijakan komdigi namun mewanti wanti munculnya dampak yang tak diinginkan tiktok dan youtube masih pelajari aturan,33
KMP-04066,Kompas,K2,Title + Description,tekno,hp poco x8 pro dan x8 pro max resmi di indonesia ini harganya [SEP] poco x8 pro series resmi meluncur di indonesia dengan chipset terbaru baterai besar 8 500 mah serta fitur gaming kelas flagship,35
KMP-01732,Kompas,K2,Title + Description,global,benarkah timur tengah berlomba kembangkan nuklir imbas perang iran [SEP] ancaman nuklir di timur tengah meningkat selama perang yang melibatkan amerika serikat israel dengan iran,25
KMP-04123,Kompas,K3,Title + Description + Keyword,tekno,meta youtube dan tiktok buka suara soal aturan blokir akun medsos anak di indonesia [SEP] meta mendukung kebijakan komdigi namun mewanti wanti munculnya dampak yang tak diinginkan tiktok dan youtube masih pelajari aturan [SEP] buka suara soal blokir akun medsos akun medsos anak mendukung kebijakan komdigi mewanti wanti munculnya,49
KMP-04066,Kompas,K3,Title + Description + Keyword,tekno,hp poco x8 pro dan x8 pro max resmi di indonesia ini harganya [SEP] poco x8 pro series resmi meluncur di indonesia dengan chipset terbaru baterai besar 8 500 mah serta fitur gaming kelas flagship [SEP] terbaru baterai besar gaming kelas flagship chipset terbaru baterai fitur gaming kelas pro max resmi,51
KMP-01732,Kompas,K3,Title + Description + Keyword,global,benarkah timur tengah berlomba kembangkan nuklir imbas perang iran [SEP] ancaman nuklir di timur tengah meningkat selama perang yang melibatkan amerika serikat israel dengan iran [SEP] benarkah timur tengah melibatkan amerika serikat amerika serikat israel tengah berlomba kembangkan timur tengah berlomba,41
KMP-04123,Kompas,K4,Title + Description + Keyword + Content,tekno,meta youtube dan tiktok buka suara soal aturan blokir akun medsos anak di indonesia [SEP] meta mendukung kebijakan komdigi namun mewanti wanti munculnya dampak yang tak diinginkan tiktok dan youtube masih pelajari aturan [SEP] buka suara soal blokir akun medsos akun medsos anak mendukung kebijakan komdigi mewanti wanti munculnya [SEP] lewat pernyataan resmi kepada kompastekno selasa 10 3 026 perusahaan media sosial seperti meta youtube dan tiktok pada dasarnya menyampaikan pesan yang serupa ketiganya menyatakan mendukung tujuan pemerintah untuk melindungi anak di ruang digital tetapi juga menekankan pentingnya pendekatan yang hati hati agar kebijakan tersebut tidak menimbulkan dampak yang tidak diinginkan meta misalnya mengingatkan bahwa larangan media sosial dapat mendorong remaja berpindah ke situs yang lebih berbahaya atau tidak diawasi sementara itu google indonesia yang mengampu youtube menyatakan masih meninjau aturan tersebut untuk memastikan akses pembelajaran tetap terjaga tiktok sendiri kini mengaku sedang berkoordinasi dengan pemerintah untuk memahami implementasi kebijakan tersebut aturan yang dimaksud adalah peraturan menteri komdigi nomor 9 tahun 2026 yang diterbitkan pada jumat 6 3 2026 regulasi ini merupakan turunan dari peraturan pemerintah nomor 17 tahun 2025 tentang tata kelola penyelenggaraan sistem elektronik dalam pelindungan anak pp tunas kebijakan ini menargetkan sejumlah platform digital besar seperti youtube tiktok instagram facebook hingga roblox untuk membatasi akses pengguna anak unsplash julian chris komdigi keluarkan kebijakan pembatasan akses akun media sosial bagi anak di bawah usia 16 tahun meta perusahaan induk dari instagram dan facebook mengatakan pihaknya memiliki tujuan yang sama dengan pemerintah yakni menciptakan pengalaman daring yang aman dan positif bagi remaja kata juru bicara meta kepada kompastekno lewat pesan instan namun perusahaan yang didirikan mark zuckerberg itu juga mengingatkan bahwa pembatasan media sosial harus dilakukan secara hati hati agar tidak mendorong remaja mencari alternatif lain yang justru lebih berisiko misalnya mendorong remaja beralih ke situs situs yang lebih berbahaya dan tidak diawasi atau ke pengalaman tanpa login yang bisa melewati perlindungan penting ujar juru bicara meta instagram dan facebook sendiri mewajibkan pengguna berusia minimal 13 tahun untuk membuat akun saat mendaftar pengguna harus mencantumkan tanggal lahir untuk pengguna berusia 13 hingga 17 tahun platform tersebut secara otomatis menerapkan pengaturan akun remaja teen accounts dengan tingkat perlindungan yang lebih ketat,361
KMP-04066,Kompas,K4,Title + Description + Keyword + Content,tekno,hp poco x8 pro dan x8 pro max resmi di indonesia ini harganya [SEP] poco x8 pro series resmi meluncur di indonesia dengan chipset terbaru baterai besar 8 500 mah serta fitur gaming kelas flagship [SEP] terbaru baterai besar gaming kelas flagship chipset terbaru baterai fitur gaming kelas pro max resmi [SEP] ponsel ini terdiri atas seri poco x8 pro max poco x8 pro hingga poco x8 pro iron man edition dengan mengusung konsep speed to the max yang menitikberatkan pada performa cepat responsif dan stabil untuk mendukung berbagai aktivitas termasuk gaming pr manager poco indonesia novita krisutami mengatakan bahwa lini poco x8 series kini ditingkatkan dengan menghadirkan nilai lebih bagi pengguna poco x series selalu dikenal dengan performa ekstrem dan kini kami meningkatkannya tidak hanya dari sisi kecepatan tetapi juga memberikan nilai terbaik bagi pengguna ujar novita dalam keterangan yang diterima kompastekno poco x8 pro max diposisikan sebagai varian tertinggi dan paling menonjol hal ini dikarenakan ponsel tersebut mengusung chip mediatek dimensity terbaru dan kapasitas baterai yang besar secara umum spesifikasi antara poco x8 pro dan poco x8 pro max tidak banyak berbeda adapun perbedaan utamanya hanya terletak pada ukuran layar kapasitas baterai serta chipset yang digunakan kedua ponsel ini juga mendukung fitur pengisian daya terbalik reverse charging 27 watt sehingga bisa digunakan sebagai powerbank untuk mengisi perangkat lain poco x8 pro max juga dilengkapi sistem pendingin 3d iceloop seluas 5 800 mm persegi poco mengeklaim cooling system tersebut sanggup menurunkan suhu soc hingga 3 derajat celcius sementara itu model poco x8 pro dilengkapi sistem pendingin 3d dual layer iceloop dengan area sekitar 5 300 mm persegi poco x8 pro max hadir dengan layar amoled yang lebih besar dibanding poco x8 pro berukuran 6 83 inci dan dilapisi corning gorilla glass 7i layar ini menggunakan panel flagship m10 dengan tingkat kecerahan puncak hingga 3 500 nits terdapat juga teknologi pwm dimming 3840 hz dan sertifikasi tuv rheinland untuk kenyamanan mata dari segi hardware poco x8 pro max ditenagai chipset mediatek dimensity 9500s berbasis fabrikasi 3nm dengan cpu octa core kecepatan clock hingga 3 73 ghz serta gpu immortalis g925 mc12 smartphone ini menggunakan ram lpddr5x dan penyimpanan ufs 4 1 dengan dua opsi kapasitas 12 gb 256 gb dan 12 gb 512 gb dari segi desain perangkat ini mengusung bodi datar dengan material logam memiliki modul kamera belakang berbentuk kapsul cover belakang berbahan fiberglass dan dihiasi lampu rgb dinamis yang dapat menyala dalam delapan warna lampu ini dapat difungsikan sebagai notifikasi indikator panggilan hingga efek sinkronisasi dengan musik,419
KMP-01732,Kompas,K4,Title + Description + Keyword + Content,global,benarkah timur tengah berlomba kembangkan nuklir imbas perang iran [SEP] ancaman nuklir di timur tengah meningkat selama perang yang melibatkan amerika serikat israel dengan iran [SEP] benarkah timur tengah melibatkan amerika serikat amerika serikat israel tengah berlomba kembangkan timur tengah berlomba [SEP] penulis cathrin schaer dw indonesia teheran kompas com hampir tidak ada keraguan bahwa ancaman nuklir di timur tengah meningkat selama konflik yang sedang berlangsung dalam perang yang dimulai pada akhir februari ketika amerika serikat as dan israel melancarkan serangan ke iran fasilitas nuklir di iran maupun israel ikut menjadi sasaran presiden as donald trump mengatakan perang terhadap iran diluncurkan untuk mencegah iran memperoleh senjata nuklir namun para ahli menilai langkah ini justru bisa menjadi bumerang kepemilikan senjata nuklir selama ini dianggap sebagai alat penangkal logikanya negara yang punya senjata nuklir akan lebih sulit diserang karena risikonya terlalu besar bagi lawan pengamat sering mengutip kasus korea utara negara itu telah mengembangkan senjata nuklir yang menurut sebagian pihak membuat rezimnya sulit disentuh sebaliknya ukraina menjadi contoh yang berlawanan pada 1994 ukraina setuju menyerahkan persenjataan nuklirnya yang saat itu terbesar ketiga di dunia sebagai imbalan jaminan keamanan dari rusia as dan inggris kini muncul pandangan bahwa jika ukraina tetap menyimpan senjata tersebut rusia kemungkinan besar tidak akan berani melakukan invasi canva com ilustrasi penggunaan senjata nuklir oleh berbagai negara iran selama ini dianggap berada dalam kondisi yang disebut latensi senjata nuklir artinya iran sudah memiliki kemampuan teknis untuk membuat bom nuklir tetapi belum benar benar memproduksinya selama bertahun tahun iran mempertahankan ambiguitas strategis tetap berada sedikit di bawah ambang batas pembuatan bom untuk menghindari serangan yang justru sekarang terjadi tulis rupal mehta profesor ilmu politik di as dalam komentarnya untuk london school of economics pada awal maret kepemimpinan baru teheran menghadapi perhitungan yang suram upaya mengejar senjata nuklir memang berbahaya tetapi memiliki bom yang belum selesai justru menjadi kesalahan fatal pekan ini politisi iran menyatakan bahwa negara tersebut mungkin akan keluar dari perjanjian penting yang bertujuan mencegah penyebaran senjata nuklir perjanjian itu adalah treaty on the non proliferation of nuclear weapons npt yang ditandatangani pada 1968 dan kini diikuti 191 negara perubahan hubungan keamanan di kawasan akibat perang iran juga bisa mendorong negara lain untuk mempertimbangkan memiliki senjata nuklir ada sejumlah faktor yang akan mendorong negara negara teluk mendekati senjata nuklir kata kelsey davenport direktur kebijakan non proliferasi di arms control association yang berbasis di washington,395
AGN-TRAIN-060021,AG News Train,A1,Title,business,martha stewart adds to furniture line including turkey hill,9
AGN-TRAIN-111360,AG News Train,A1,Title,sci_tech,ibm stops offering cash balance pension,6
AGN-TRAIN-058143,AG News Train,A1,Title,business,temasek posts s 7 4b net profit in first ever report card,12
AGN-TRAIN-060021,AG News Train,A2,Title + Description,business,martha stewart adds to furniture line including turkey hill [SEP] she may be in a west virginia prison but westport 39 s martha stewart is growing her business by adding to her furniture line including new items to a collection based on her westport home,45
AGN-TRAIN-111360,AG News Train,A2,Title + Description,sci_tech,ibm stops offering cash balance pension [SEP] international business machines corp taken to court by workers over changes it made to its traditional pension plan has decided to stop offering any such plan to new employees,36
AGN-TRAIN-058143,AG News Train,A2,Title + Description,business,temasek posts s 7 4b net profit in first ever report card [SEP] singapore investment firm temasek holdings has made public its report card for the first time in its 30 year history its performance in financial year 2003 sparkled with,41
AGN-TEST-002281,AG News Test,A1,Title,sports,as mets look ahead they keep looking back,8
AGN-TEST-006098,AG News Test,A1,Title,sports,michigan st beats central conn st,6
AGN-TEST-002128,AG News Test,A1,Title,business,trans tasman war hots up,5
AGN-TEST-002281,AG News Test,A2,Title + Description,sports,as mets look ahead they keep looking back [SEP] a handful of potential managers including lenny dykstra has emerged from the mets 1986 world series winning team,27
AGN-TEST-006098,AG News Test,A2,Title + Description,sports,michigan st beats central conn st [SEP] michigan state 39,10
AGN-TEST-002128,AG News Test,A2,Title + Description,business,trans tasman war hots up [SEP] air new zealand and qantas airways face the prospect of intensifying competition on its trans tasman route from other airlines now that a proposed alliance between the pair has been blocked according to analysts,40
