dataset,document_id,source_row,column,before,after,words_before,words_after
Kompas,KMP-06029,,title,"Bisnis Paylater Tumbuh Cepat, Kredit Macet Jadi Ancaman",bisnis paylater tumbuh cepat kredit macet jadi ancaman,8,8
Kompas,KMP-06029,,description,"Industri paylater di Indonesia tumbuh pesat, namun dibayangi kredit macet tinggi dan risiko multi akun. IdScore mengungkap akar masalahnya.",industri paylater di indonesia tumbuh pesat namun dibayangi kredit macet tinggi dan risiko multi akun idscore mengungkap akar masalahnya,19,19
Kompas,KMP-06029,,content,"JAKARTA, KOMPAS.com - Industri layanan buy now pay later (BNPL) atau paylater menunjukkan pertumbuhan yang pesat, tetapi menyisakan masalah kredit macet yang tinggi. PT Pefindo Biro Kredit ( IdScore ) melaporkan, outstanding paylater dari berbagai industri tercatat mencapai Rp 56,3 triliun hingga Februari 2026. Angka tersebut tumbuh 86,7 persen secara tahunan dibandingkan periode yang sama tahun lalu. DOK. Istimewa Ilustrasi paylater. Layanan Buy Now Pay Later makin populer di tengah maraknya belanja daring. Namun, sejumlah pakar keuangan menilai layanan ini berisiko menjerat konsumen dalam utang. Layanan paylater telah digunakan oleh 26,2 juta debitur, dengan pertumbuhan lebih dari 56,7 persen pada periode yang sama. Direktur Utama IdScore Tan Glant Saputrahadi mengatakan, hasil tersebut jauh melampaui pertumbuhan kredit konsumtif konvensional. Berdasarkan data IdScore, penyaluran kredit paylater di Indonesia masih didominasi oleh industri perbankan umum dengan outstanding Rp 18,9 triliun hingga Februari 2026. Setelah itu, kontribusi penyaluran kredit paylater yang dominan lainnya berasal dari industri fintech peer-to-peer lending ( fintech lending ) dan perbankan digital. Bisnis paylater di fintech lending tumbuh 153,49 persen secara tahunan dibandingkan periode yang sama tahun lalu. Angka ini sekaligus menjadi angka pertumbuhan yang paling menonjol dibandingkan bisnis paylater di bank umum, bank digital, maupun multifinance . Glant menambahkan, penyaluran pembiayaan paylater tumbuh 21 kali lebih tinggi dibandingkan dengan kartu kredit. Sementara itu, kartu kredit sendiri masih tumbuh stagnan dengan angka pertumbuhan 3-6 persen per tahun. ""Di sisi lain, rasio kredit bermasalah pada segmen ini masih berada di level relatif tinggi sekitar 5 persen, mencerminkan perlunya penguatan prinsip responsible lending , pemanfaatan data yang lebih presisi, serta edukasi keuangan kepada masyarakat,"" kata dia dalam media gathering , Selasa (28/4/2026). Glant mengungkapkan, berdasarkan data yang dihimpun IdScore tingkat kredit macet paylater atau non performing loan (NPL) sejak 2023 berada di atas 5 persen. Angka tertinggi kredit macet paylater pernah terjadi pada 2023 di level 5,31 persen.",jakarta kompas com industri layanan buy now pay later bnpl atau paylater menunjukkan pertumbuhan yang pesat tetapi menyisakan masalah kredit macet yang tinggi pt pefindo biro kredit idscore melaporkan outstanding paylater dari berbagai industri tercatat mencapai rp 56 3 triliun hingga februari 2026 angka tersebut tumbuh 86 7 persen secara tahunan dibandingkan periode yang sama tahun lalu dok istimewa ilustrasi paylater layanan buy now pay later makin populer di tengah maraknya belanja daring namun sejumlah pakar keuangan menilai layanan ini berisiko menjerat konsumen dalam utang layanan paylater telah digunakan oleh 26 2 juta debitur dengan pertumbuhan lebih dari 56 7 persen pada periode yang sama direktur utama idscore tan glant saputrahadi mengatakan hasil tersebut jauh melampaui pertumbuhan kredit konsumtif konvensional berdasarkan data idscore penyaluran kredit paylater di indonesia masih didominasi oleh industri perbankan umum dengan outstanding rp 18 9 triliun hingga februari 2026 setelah itu kontribusi penyaluran kredit paylater yang dominan lainnya berasal dari industri fintech peer to peer lending fintech lending dan perbankan digital bisnis paylater di fintech lending tumbuh 153 49 persen secara tahunan dibandingkan periode yang sama tahun lalu angka ini sekaligus menjadi angka pertumbuhan yang paling menonjol dibandingkan bisnis paylater di bank umum bank digital maupun multifinance glant menambahkan penyaluran pembiayaan paylater tumbuh 21 kali lebih tinggi dibandingkan dengan kartu kredit sementara itu kartu kredit sendiri masih tumbuh stagnan dengan angka pertumbuhan 3 6 persen per tahun di sisi lain rasio kredit bermasalah pada segmen ini masih berada di level relatif tinggi sekitar 5 persen mencerminkan perlunya penguatan prinsip responsible lending pemanfaatan data yang lebih presisi serta edukasi keuangan kepada masyarakat kata dia dalam media gathering selasa 28 4 2026 glant mengungkapkan berdasarkan data yang dihimpun idscore tingkat kredit macet paylater atau non performing loan npl sejak 2023 berada di atas 5 persen angka tertinggi kredit macet paylater pernah terjadi pada 2023 di level 5 31 persen,306,311
Kompas,KMP-03520,,title,"TC Timnas Indonesia untuk ASEAN Championship, Akhir Penantian Saddil",tc timnas indonesia untuk asean championship akhir penantian saddil,9,9
Kompas,KMP-03520,,description,"Penyerang sayap Persib Bandung, Saddil Ramdani, kembali mendapatkan panggilan Timnas Indonesia setelah penantian dua tahun lebih.",penyerang sayap persib bandung saddil ramdani kembali mendapatkan panggilan timnas indonesia setelah penantian dua tahun lebih,16,16
Kompas,KMP-03520,,content,"Dari 23 nama yang diumumkan, ada tiga pemain Persib Bandung di sana, yakni Thom Haye, Marc Klok, dan Saddil Ramdani . Menarik bagi Saddil Ramdani, setelah sekian lama tak mendapatkan panggilan, ia memperoleh kesempatan lagi di era pelatih John Herdman . Terakhir kali Saddil Ramdani dipanggil Timnas Indonesia adalah pada era Shin Tae-yong , tepatnya kala ia tampil dalam laga persahabatan internasional melawan Libya, 5 Januari 2024 silam. Dirangkum situs data statistik sepak bola Transfermarkt, Saddil Ramdani punya total 26 caps alias penampilan bersama Timnas Indonesia. Ia telah mencetak dua gol dan enam assist. Gol perdananya bagi Garuda dicetak ke gawang Nepal dalam laga Kualifikasi Piala Asia 2023. Debutnya sendiri tercatat pada laga Indonesia vs Myanmar 21 Maret 2017 di tangan pelatih asal Spanyol Luis Milla. Dalam sebuah wawancara dengan KOMPAS.com, Saddil pernah mengutarakan kerinduannya membela Timnas Indonesia “Kami sebagai pemain Indonesia tentu rindu untuk bermain di Timnas Indonesia. Siapa yang tidak ingin membela Timnas Indonesia, semua pasti ingin,"" ucapnya Ia juga tak pernah ketinggalan menonton Timnas Indonesia, bahkan mengamati perubahan yang dibentuk John Herdman dalam debutnya di ajang FIFA Series 2026 beberapa waktu silam ""Harapan saya adalah dia (John Herdman) nyaman untuk tinggal di Indonesia, itu yang pertama,"" jelasnya. ”Semoga sukses dari awal kedatangan di Indonesia hingga akhir berada di sini,” sambungnya. Kiprah Saddil Ramdani di sepak bola profesional Tanah Air dimulai di Persela Lamongan (2017-2019). Dari Persela ia memutuskan berkarier di Liga Malaysia gabung Pahang FA 2019. Ia sempat memperkuat Bhayangkara FC (2020), lalu sekitar empat tahun membela panji Sabah FC (2021-2025).",dari 23 nama yang diumumkan ada tiga pemain persib bandung di sana yakni thom haye marc klok dan saddil ramdani menarik bagi saddil ramdani setelah sekian lama tak mendapatkan panggilan ia memperoleh kesempatan lagi di era pelatih john herdman terakhir kali saddil ramdani dipanggil timnas indonesia adalah pada era shin tae yong tepatnya kala ia tampil dalam laga persahabatan internasional melawan libya 5 januari 2024 silam dirangkum situs data statistik sepak bola transfermarkt saddil ramdani punya total 26 caps alias penampilan bersama timnas indonesia ia telah mencetak dua gol dan enam assist gol perdananya bagi garuda dicetak ke gawang nepal dalam laga kualifikasi piala asia 2023 debutnya sendiri tercatat pada laga indonesia vs myanmar 21 maret 2017 di tangan pelatih asal spanyol luis milla dalam sebuah wawancara dengan kompas com saddil pernah mengutarakan kerinduannya membela timnas indonesia kami sebagai pemain indonesia tentu rindu untuk bermain di timnas indonesia siapa yang tidak ingin membela timnas indonesia semua pasti ingin ucapnya ia juga tak pernah ketinggalan menonton timnas indonesia bahkan mengamati perubahan yang dibentuk john herdman dalam debutnya di ajang fifa series 2026 beberapa waktu silam harapan saya adalah dia john herdman nyaman untuk tinggal di indonesia itu yang pertama jelasnya semoga sukses dari awal kedatangan di indonesia hingga akhir berada di sini sambungnya kiprah saddil ramdani di sepak bola profesional tanah air dimulai di persela lamongan 2017 2019 dari persela ia memutuskan berkarier di liga malaysia gabung pahang fa 2019 ia sempat memperkuat bhayangkara fc 2020 lalu sekitar empat tahun membela panji sabah fc 2021 2025,254,255
Kompas,KMP-05312,,title,Apple Beri Bonus Besar ke Karyawan biar Tak Hengkang,apple beri bonus besar ke karyawan biar tak hengkang,9,9
Kompas,KMP-05312,,description,"Bonus akan “cair” secara bertahap dalam periode 4 tahun. Jadi, karyawan harus tetap bekerja di Apple selama 4 tahun untuk mendapatkan seluruh bonus",bonus akan cair secara bertahap dalam periode 4 tahun jadi karyawan harus tetap bekerja di apple selama 4 tahun untuk mendapatkan seluruh bonus,23,23
Kompas,KMP-05312,,content,"Menurut laporan Bloomberg , Apple menyetujui pemberian bonus di luar siklus normal atau “out-of-cycle” untuk sejumlah anggota tim desain produk iPhone . Artinya, bonus ini hadir sebagai kejutan, di luar jadwal bonus rutin yang biasanya diterima karyawan. Nilainya pun tidak kecil. Bonus tersebut disebut berada di kisaran 200.000 dollar AS hingga 400.000 dollar AS, atau sekitar Rp 3,3 miliar hingga Rp 6,7 miliar, jika dihitung untuk keseluruhan periode. Namun, bonus ini tidak diberikan dalam bentuk uang tunai langsung. Apple memberikannya dalam bentuk saham yang akan “cair” secara bertahap dalam periode empat tahun. Dengan skema ini, karyawan harus tetap bekerja di Apple selama empat tahun untuk mendapatkan seluruh nilai bonus tersebut. Jika keluar lebih cepat, maka sebagian bonus bisa hangus. Langkah ini disebut sebagai respons terhadap meningkatnya upaya perekrutan agresif dari perusahaan teknologi lain, terutama di bidang AI, seperti OpenAI dan Meta . Dalam beberapa kasus, perusahaan pesaing bahkan menawarkan kompensasi yang jauh lebih besar. Disebutkan, ada engineer Apple yang ditawari paket hingga 1 juta dollar AS per tahun dalam bentuk saham untuk pindah kerja. Fenomena ini memicu kekhawatiran soal keluarnya talenta penting dari perusahaan yang bermarkas di Cupertino, California, AS ini ke perusahaan lain. Salah satu contoh adalah kepergian Tang Tan, mantan VP desain produk Apple, yang kini menjabat sebagai kepala hardware di OpenAI. Selain itu, sejumlah engineer Apple juga dilaporkan telah direkrut oleh perusahaan lain dalam beberapa tahun terakhir. Abidur Chowdhury, misalnya. Desainer industri di balik iPhone Air itu dilaporkan hengkang untuk menjadi design lead di startup AI bernama Hawk AI. Gelombang perpindahan karyawan Apple ke perusahaan AI semakin terlihat dalam beberapa waktu terakhir. Sepanjang 2025, puluhan insinyur dan desainer Apple dilaporkan meninggalkan perusahaan dan bergabung dengan OpenAI maupun Meta. Fenomena ini turut disorot jurnalis Bloomberg, Mark Gurman. Dalam buletin Power On, ia menyebut bahwa OpenAI telah merekrut lebih dari 40 mantan karyawan Apple untuk memperkuat tim perangkat kerasnya. Tak hanya ke OpenAI, sejumlah talenta Apple juga berlabuh ke Meta. Beberapa nama yang disebut antara lain: Perpindahan ini menunjukkan ketatnya persaingan talenta di industri AI dan hardware. Meski demikian, rotasi karyawan sebenarnya bukan hal baru di Silicon Valley. Banyak pihak menilai perpindahan antar perusahaan teknologi merupakan hal yang wajar. Apple sendiri pernah melakukan langkah serupa pada 2021 dengan memberikan bonus sekitar 180.000 dollar AS untuk menahan karyawan, meski hasilnya tidak sepenuhnya efektif. Di sisi lain, perusahaan pesaing tetap bisa menawarkan kompensasi lebih tinggi, sehingga bonus dari Apple belum tentu cukup untuk menahan semua talenta, sebagaimana dihimpun KompasTekno dari 9to5Mac dan Apple Insider.",menurut laporan bloomberg apple menyetujui pemberian bonus di luar siklus normal atau out of cycle untuk sejumlah anggota tim desain produk iphone artinya bonus ini hadir sebagai kejutan di luar jadwal bonus rutin yang biasanya diterima karyawan nilainya pun tidak kecil bonus tersebut disebut berada di kisaran 200 000 dollar as hingga 400 000 dollar as atau sekitar rp 3 3 miliar hingga rp 6 7 miliar jika dihitung untuk keseluruhan periode namun bonus ini tidak diberikan dalam bentuk uang tunai langsung apple memberikannya dalam bentuk saham yang akan cair secara bertahap dalam periode empat tahun dengan skema ini karyawan harus tetap bekerja di apple selama empat tahun untuk mendapatkan seluruh nilai bonus tersebut jika keluar lebih cepat maka sebagian bonus bisa hangus langkah ini disebut sebagai respons terhadap meningkatnya upaya perekrutan agresif dari perusahaan teknologi lain terutama di bidang ai seperti openai dan meta dalam beberapa kasus perusahaan pesaing bahkan menawarkan kompensasi yang jauh lebih besar disebutkan ada engineer apple yang ditawari paket hingga 1 juta dollar as per tahun dalam bentuk saham untuk pindah kerja fenomena ini memicu kekhawatiran soal keluarnya talenta penting dari perusahaan yang bermarkas di cupertino california as ini ke perusahaan lain salah satu contoh adalah kepergian tang tan mantan vp desain produk apple yang kini menjabat sebagai kepala hardware di openai selain itu sejumlah engineer apple juga dilaporkan telah direkrut oleh perusahaan lain dalam beberapa tahun terakhir abidur chowdhury misalnya desainer industri di balik iphone air itu dilaporkan hengkang untuk menjadi design lead di startup ai bernama hawk ai gelombang perpindahan karyawan apple ke perusahaan ai semakin terlihat dalam beberapa waktu terakhir sepanjang 2025 puluhan insinyur dan desainer apple dilaporkan meninggalkan perusahaan dan bergabung dengan openai maupun meta fenomena ini turut disorot jurnalis bloomberg mark gurman dalam buletin power on ia menyebut bahwa openai telah merekrut lebih dari 40 mantan karyawan apple untuk memperkuat tim perangkat kerasnya tak hanya ke openai sejumlah talenta apple juga berlabuh ke meta beberapa nama yang disebut antara lain perpindahan ini menunjukkan ketatnya persaingan talenta di industri ai dan hardware meski demikian rotasi karyawan sebenarnya bukan hal baru di silicon valley banyak pihak menilai perpindahan antar perusahaan teknologi merupakan hal yang wajar apple sendiri pernah melakukan langkah serupa pada 2021 dengan memberikan bonus sekitar 180 000 dollar as untuk menahan karyawan meski hasilnya tidak sepenuhnya efektif di sisi lain perusahaan pesaing tetap bisa menawarkan kompensasi lebih tinggi sehingga bonus dari apple belum tentu cukup untuk menahan semua talenta sebagaimana dihimpun kompastekno dari 9to5mac dan apple insider,413,417
Kompas,KMP-05762,,title,Bos Pupuk Peringatkan Dampak Krisis Hormuz Bisa Sampai ke Piring Kita,bos pupuk peringatkan dampak krisis hormuz bisa sampai ke piring kita,11,11
