document_id,category,title,description,keyword_yake,k2_without_yake_text,k3_with_yake_text,k2_word_count,k3_word_count,additional_tokens_from_yake
KMP-02130,bola,"Menuju Bangkok Hari Ini, Atlet Indonesia Siap Berlaga di Thailand Open","Sejumlah atlet Indonesia bertolak ke Bangkok hari ini, Minggu (10/5/2026), untuk berlaga di Thailand Open 2026.",atlet indonesia siap indonesia siap berlaga menuju bangkok hari thailand open indonesia siap,menuju bangkok hari ini atlet indonesia siap berlaga di thailand open [SEP] sejumlah atlet indonesia bertolak ke bangkok hari ini minggu 10 5 2026 untuk berlaga di thailand open 2026,menuju bangkok hari ini atlet indonesia siap berlaga di thailand open [SEP] sejumlah atlet indonesia bertolak ke bangkok hari ini minggu 10 5 2026 untuk berlaga di thailand open 2026 [SEP] atlet indonesia siap indonesia siap berlaga menuju bangkok hari thailand open indonesia siap,30,44,14
KMP-02879,bola,Hasil Madura United Vs Bali United 2-0: Laskar Sape Kerrab Jauhi Zona Degradasi,Madura United memastikan diri menjauh dari zona degradasi berkat raihan tiga poin atas Bali United di pekan ke-31 Super League.,laskar sape kerrab sape kerrab jauhi kerrab jauhi zona jauhi zona degradasi hasil madura united,hasil madura united vs bali united 2 0 laskar sape kerrab jauhi zona degradasi [SEP] madura united memastikan diri menjauh dari zona degradasi berkat raihan tiga poin atas bali united di pekan ke 31 super league,hasil madura united vs bali united 2 0 laskar sape kerrab jauhi zona degradasi [SEP] madura united memastikan diri menjauh dari zona degradasi berkat raihan tiga poin atas bali united di pekan ke 31 super league [SEP] laskar sape kerrab sape kerrab jauhi kerrab jauhi zona jauhi zona degradasi hasil madura united,36,52,16
KMP-08626,bola,"Common Ground Fight Vol 1 Diikuti 60 Peserta, Siap Gelar Edisi Kedua",Common Ground Fight menggabungkan martial art dan seni.,gelar edisi kedua siap gelar edisi ground fight vol common ground fight siap gelar,common ground fight vol 1 diikuti 60 peserta siap gelar edisi kedua [SEP] common ground fight menggabungkan martial art dan seni,common ground fight vol 1 diikuti 60 peserta siap gelar edisi kedua [SEP] common ground fight menggabungkan martial art dan seni [SEP] gelar edisi kedua siap gelar edisi ground fight vol common ground fight siap gelar,21,36,15
KMP-05498,global,"WNI Ditangkap di Thailand, Dituduh Tipu Warga AS hingga Rp 172 Miliar",Seorang WNI ditangkap polisi Thailand atas dugaan keterlibatan dalam penipuan daring bernilai jutaan dollar terhadap warga Amerika Serikat.,dituduh tipu warga dituduh tipu warga amerika serikat wni ditangkap tipu warga,wni ditangkap di thailand dituduh tipu warga as hingga rp 172 miliar [SEP] seorang wni ditangkap polisi thailand atas dugaan keterlibatan dalam penipuan daring bernilai jutaan dollar terhadap warga amerika serikat,wni ditangkap di thailand dituduh tipu warga as hingga rp 172 miliar [SEP] seorang wni ditangkap polisi thailand atas dugaan keterlibatan dalam penipuan daring bernilai jutaan dollar terhadap warga amerika serikat [SEP] dituduh tipu warga dituduh tipu warga amerika serikat wni ditangkap tipu warga,31,44,13
KMP-02045,global,"Ratusan Tulang Manusia Ditemukan di Ibu Kota Meksiko, Bayangi Piala Dunia 2026","Jaksa mengumumkan bahwa sekitar 300 fragmen tulang yang mereka yakini mungkin milik tiga orang, telah ditemukan.",bayangi piala dunia ibu kota meksiko ratusan tulang manusia kota meksiko bayangi piala,ratusan tulang manusia ditemukan di ibu kota meksiko bayangi piala dunia 2026 [SEP] jaksa mengumumkan bahwa sekitar 300 fragmen tulang yang mereka yakini mungkin milik tiga orang telah ditemukan,ratusan tulang manusia ditemukan di ibu kota meksiko bayangi piala dunia 2026 [SEP] jaksa mengumumkan bahwa sekitar 300 fragmen tulang yang mereka yakini mungkin milik tiga orang telah ditemukan [SEP] bayangi piala dunia ibu kota meksiko ratusan tulang manusia kota meksiko bayangi piala,29,43,14
KMP-06595,global,"Sempat Diumumkan Dibuka, Iran Nyatakan Pelayaran Selat Hormuz Masih Terbatas",Pemerintah Iran dilaporkan menyampaikan kepada para mediator bahwa pembukaan Selat Hormuz masih bersifat terbatas.,nyatakan pelayaran selat iran nyatakan pelayaran pelayaran selat hormuz diumumkan dibuka nyatakan pelayaran,sempat diumumkan dibuka iran nyatakan pelayaran selat hormuz masih terbatas [SEP] pemerintah iran dilaporkan menyampaikan kepada para mediator bahwa pembukaan selat hormuz masih bersifat terbatas,sempat diumumkan dibuka iran nyatakan pelayaran selat hormuz masih terbatas [SEP] pemerintah iran dilaporkan menyampaikan kepada para mediator bahwa pembukaan selat hormuz masih bersifat terbatas [SEP] nyatakan pelayaran selat iran nyatakan pelayaran pelayaran selat hormuz diumumkan dibuka nyatakan pelayaran,25,39,14
KMP-08408,money,"Cara Cek Akumulasi Saldo JHT BPJS Ketenagakerjaan Secara Online, Berikut Langkahnya","Cara cek saldo JHT BPJS Ketenagakerjaan melalui ponsel, praktis dan mudah.",ketenagakerjaan secara online jht bpjs ketenagakerjaan bpjs ketenagakerjaan secara saldo jht bpjs akumulasi saldo jht,cara cek akumulasi saldo jht bpjs ketenagakerjaan secara online berikut langkahnya [SEP] cara cek saldo jht bpjs ketenagakerjaan melalui ponsel praktis dan mudah,cara cek akumulasi saldo jht bpjs ketenagakerjaan secara online berikut langkahnya [SEP] cara cek saldo jht bpjs ketenagakerjaan melalui ponsel praktis dan mudah [SEP] ketenagakerjaan secara online jht bpjs ketenagakerjaan bpjs ketenagakerjaan secara saldo jht bpjs akumulasi saldo jht,23,39,16
KMP-01823,money,Menyoal Konsep Pertumbuhan Ekonomi,"Terlepas dari dinamika pro kontra yang ada, satu hal yang perlu didiskusikan secara mendalam",konsep pertumbuhan ekonomi menyoal konsep pertumbuhan pertumbuhan ekonomi konsep pertumbuhan menyoal konsep,menyoal konsep pertumbuhan ekonomi [SEP] terlepas dari dinamika pro kontra yang ada satu hal yang perlu didiskusikan secara mendalam,menyoal konsep pertumbuhan ekonomi [SEP] terlepas dari dinamika pro kontra yang ada satu hal yang perlu didiskusikan secara mendalam [SEP] konsep pertumbuhan ekonomi menyoal konsep pertumbuhan pertumbuhan ekonomi konsep pertumbuhan menyoal konsep,19,32,13
KMP-04079,money,Kemenhub Masih Tunggu Hasil dari KNKT soal Kecelakaan Bus ALS di Sumsel,Kemenhub menemukan bus ALS yang kecelakaan di Muratara diduga memakai dokumen palsu dan tak memiliki izin sejak 2020.,knkt soal kecelakaan tunggu hasil hasil dari knkt kecelakaan bus als knkt soal,kemenhub masih tunggu hasil dari knkt soal kecelakaan bus als di sumsel [SEP] kemenhub menemukan bus als yang kecelakaan di muratara diduga memakai dokumen palsu dan tak memiliki izin sejak 2020,kemenhub masih tunggu hasil dari knkt soal kecelakaan bus als di sumsel [SEP] kemenhub menemukan bus als yang kecelakaan di muratara diduga memakai dokumen palsu dan tak memiliki izin sejak 2020 [SEP] knkt soal kecelakaan tunggu hasil hasil dari knkt kecelakaan bus als knkt soal,31,45,14
KMP-08359,tekno,"PC Makin Canggih, Kenapa Gamer Masih Setia Main di PlayStation dan XBox?","Survei mengungkap game eksklusif masih jadi alasan utama gamer main di konsol, tapi faktor teman dan keluarga juga berperan besar.",setia main playstation dan xbox utama gamer main main di playstation canggih,pc makin canggih kenapa gamer masih setia main di playstation dan xbox [SEP] survei mengungkap game eksklusif masih jadi alasan utama gamer main di konsol tapi faktor teman dan keluarga juga berperan besar,pc makin canggih kenapa gamer masih setia main di playstation dan xbox [SEP] survei mengungkap game eksklusif masih jadi alasan utama gamer main di konsol tapi faktor teman dan keluarga juga berperan besar [SEP] setia main playstation dan xbox utama gamer main main di playstation canggih,33,46,13
