document_id,category,dataset,scenario_code,scenario_name,text,word_count
KMP-00001,money,Kompas,K1,Title,trump dan xi bahas impor pertanian china diperkirakan kurangi fokus ke kedelai as,13
KMP-00002,global,Kompas,K1,Title,sejumlah media asing laporkan 2 lagi personel tni pasukan unifil gugur di lebanon,13
KMP-00003,bola,Kompas,K1,Title,hasil conference league crystal palace menang rekor gol 21 detik,10
KMP-00004,global,Kompas,K1,Title,siapa grup handala peretas pro iran yang klaim bobol email bos fbi,12
KMP-00005,global,Kompas,K1,Title,misteri pemecatan kasad as 40 tahun loyal pengalaman di irak afghanistan,11
KMP-00006,money,Kompas,K1,Title,selat hormuz tersendat saudi aramco dunia kehilangan 1 miliar barrel minyak,11
KMP-00007,bola,Kompas,K1,Title,moto3 catalunya 2026 start posisi ke 20 veda ega ingin langsung tancap gas,13
KMP-00008,money,Kompas,K1,Title,rosan kontrak lama ekspor sda tetap jalan harga bisa dikaji ulang,11
KMP-00009,money,Kompas,K1,Title,bulog dorong asn terima tunjangan beras skema natura kembali diusulkan,10
KMP-00010,bola,Kompas,K1,Title,jadi fan bournemouth dadakan arteta dukung tim iraola redam man city,11
KMP-00011,global,Kompas,K1,Title,penembakan di masjid terbesar san diego as 3 meninggal 2 pelaku tewas di mobil,14
KMP-00012,money,Kompas,K1,Title,prabowo temui korban insiden ka bekasi timur janji investigasi menyeluruh,10
KMP-00013,money,Kompas,K1,Title,kenaikan bi rate sinyal positif independensi bi,7
KMP-00014,money,Kompas,K1,Title,tabel kur mandiri mei 2026 pinjaman rp 30 juta cicilan mulai rp 579 ribuan,14
KMP-00015,global,Kompas,K1,Title,fifa pastikan iran ikut piala dunia 2026,7
KMP-00016,money,Kompas,K1,Title,jadwal krl jogja solo pada 15 16 dan 17 mei 2026,11
KMP-00017,bola,Kompas,K1,Title,man united vs nottingham forest jurus michael carrick kelola ego,10
KMP-00018,tekno,Kompas,K1,Title,hp vivo x200t resmi rilis saudara kembar x200s,8
KMP-00019,money,Kompas,K1,Title,cek harga emas terbaru di pegadaian 4 mei 2026 ini rinciannya,11
KMP-00020,tekno,Kompas,K1,Title,bukan hanya agar jadi tipis ini alasan hp kini tak punya lubang headset,13
KMP-00021,tekno,Kompas,K1,Title,hp oppo a6t dan a6t pro resmi rilis di indonesia ini harganya,12
KMP-00022,bola,Kompas,K1,Title,liam rosenior dipecat john terry khawatir soal masa depan chelsea,10
KMP-00023,global,Kompas,K1,Title,jurus china tetap tenang meski selat hormuz ditutup ketahanan energi harga mati,12
KMP-00024,tekno,Kompas,K1,Title,langganan chatgpt go di telkomsel lebih murah begini caranya,9
KMP-00025,global,Kompas,K1,Title,ngamuk ngamuk tak dibantu perangi iran trump sebut nato pengecut,10
KMP-00026,tekno,Kompas,K1,Title,kenapa password mudah dibobol jawabannya ada di jenis sandi,9
KMP-00027,bola,Kompas,K1,Title,jeblok 5 laga beruntun malut united 200 persen siap bungkam psbs,11
KMP-00028,tekno,Kompas,K1,Title,bukan cuma galaxy s26 deretan hp samsung ini juga kebagian fitur airdrop iphone,13
KMP-00029,money,Kompas,K1,Title,generasi muda makin melek fintech tapi masih rentan salah kelola uang,11
KMP-00030,tekno,Kompas,K1,Title,microsoft ancang ancang tuntut openai imbas proyek agen ai,9
KMP-00031,bola,Kompas,K1,Title,piala dunia 2026 iran pindah markas latihan dari as ke meksiko ini alasannya,13
KMP-00032,global,Kompas,K1,Title,as lakukan latihan militer di ibu kota venezuela ada apa,10
KMP-00033,global,Kompas,K1,Title,dihantam krisis pm malaysia ajak rakyat fokus hadapi tekanan ekonomi,10
KMP-00034,global,Kompas,K1,Title,trump terperangkap di hormuz,4
KMP-00035,tekno,Kompas,K1,Title,operasi senyap 6 bulan hacker kuliti superkomputer china curi data militer,11
KMP-00036,global,Kompas,K1,Title,populer global wapres filipina di ambang pemakzulan mau ke mana as dan iran sebenarnya,14
KMP-00037,money,Kompas,K1,Title,ekonomi singapura tumbuh 6 persen pada kuartal i 2026 ini penopangnya,11
KMP-00038,bola,Kompas,K1,Title,hansi flick enggan tiru pep guardiola di man city,9
KMP-00039,global,Kompas,K1,Title,bukan sekadar perang dubes rusia ungkap bahaya konflik timur tengah bagi dunia,12
KMP-00040,money,Kompas,K1,Title,pendapatan blibli beli melonjak 67 persen ditopang penjualan smartphone,9
KMP-00041,money,Kompas,K1,Title,wamen esdm ungkap penyebab blackout sumatera jaringan transmisi tersambar petir,10
KMP-00042,bola,Kompas,K1,Title,indonesia dan tiket mahal sepak bola dunia,7
KMP-00043,tekno,Kompas,K1,Title,7 fitur unggulan lenovo yoga tab di indonesia tablet dengan ai on device,13
KMP-00044,bola,Kompas,K1,Title,rating calvin verdonk usai lille vs le havre 1 1 nyaris bikin gol,13
KMP-00045,tekno,Kompas,K1,Title,google tutup trik andalan pengguna youtube gratisan,7
KMP-00046,bola,Kompas,K1,Title,inter lirik bek barcelona di tengah ketikdakpastian transfer bastoni,9
KMP-00047,global,Kompas,K1,Title,as serba kontradiktif apakah trump sedang cari jalan keluar dari perang iran,12
KMP-00048,global,Kompas,K1,Title,donald trump taruh wajah dan tanda tangan emasnya di paspor as,11
KMP-00049,bola,Kompas,K1,Title,panggil 23 pemain ke tc timnas indonesia john herdman tepati janji,11
KMP-00050,bola,Kompas,K1,Title,persib siaga kuning di puncak klasemen hodak beri peringatan tegas,10
KMP-00051,global,Kompas,K1,Title,ri kecam israel kibarkan propaganda di reruntuhan rs indonesia di gaza,11
KMP-00052,tekno,Kompas,K1,Title,robot humanoid china hampir pecahkan rekor atlet dunia,8
KMP-00053,global,Kompas,K1,Title,pejabat intelijen as yang mundur karena tolak perang iran diselidiki fbi,11
KMP-00054,tekno,Kompas,K1,Title,cara atasi akun tiktok terhapus karena usia pengguna bagikan langkahnya,10
KMP-00055,global,Kompas,K1,Title,dunia kehilangan kemanusiaan mendesak rehumanisasi global,6
KMP-00056,tekno,Kompas,K1,Title,daftar 10 hp terlaris awal 2026 iphone juara samsung dominan,10
KMP-00057,global,Kompas,K1,Title,netanyahu tak rela perang iran berakhir tuntut teheran bereskan ini lebih dulu,12
KMP-00058,tekno,Kompas,K1,Title,microsoft pensiunkan aplikasi scan favorit pengguna android,7
KMP-00059,global,Kompas,K1,Title,ktt putin xi bagaimana china mengontrol perekonomian rusia,8
KMP-00060,global,Kompas,K1,Title,populer global as israel pilih ahmadinejad 30 000 ufo bawah laut muncul di as,14
KMP-00061,bola,Kompas,K1,Title,persipura gagal promosi ke super league pilu di lukas enembe,10
KMP-00062,tekno,Kompas,K1,Title,corsair rilis kabel anti kebakaran khusus kartu grafis,8
KMP-00063,money,Kompas,K1,Title,senat as setujui kevin warsh jadi ketua baru the fed,10
KMP-00064,bola,Kompas,K1,Title,kata roberto de zerbi jelang laga penentuan tottenham di liga inggris,11
KMP-00065,bola,Kompas,K1,Title,alisson becker disebut sepakat gabung juventus dengan kontrak tiga tahun,10
KMP-00066,tekno,Kompas,K1,Title,hp motorola edge 70 pro resmi punya tiga kamera 50 mp dan chip overclock,14
KMP-00067,global,Kompas,K1,Title,populer global perang iran babak 2 jelang ktt putin xi jinping,11
KMP-00068,tekno,Kompas,K1,Title,kuota internet telkomsel kini tak hangus ini syarat dan paketnya,10
KMP-00069,money,Kompas,K1,Title,pasar energi asia bergejolak harga lng dan solar industri naik,10
KMP-00070,global,Kompas,K1,Title,gegara drone banyak sniper ukraina jadi menganggur,7
KMP-00071,money,Kompas,K1,Title,bca umkm fest 2026 siap dorong produk lokal tembus pasar global,11
KMP-00072,bola,Kompas,K1,Title,atlanta siap jadi magnet piala dunia 2026 kota sepak bola baru as,12
KMP-00073,global,Kompas,K1,Title,lokasi penembakan acara trump pernah jadi tkp percobaan pembunuhan eks presiden as,12
KMP-00074,global,Kompas,K1,Title,peringatan xi jinping as china bisa perang karena masalah taiwan,10
KMP-00075,global,Kompas,K1,Title,indonesia tinjau ulang bebas visa asean usai penggerebekan markas judol di jakarta,12
KMP-00076,tekno,Kompas,K1,Title,mengapa asmr jadi andalan banyak orang untuk tidur nyenyak,9
KMP-00077,bola,Kompas,K1,Title,klub calvin verdonk selangkah lagi kunci tiket liga champions,9
KMP-00078,money,Kompas,K1,Title,pgn gagas dorong cng masuk bauran energi nasional,8
KMP-00079,tekno,Kompas,K1,Title,di balik iphone 17 pro max dalam misi artemis ii nasa ada uji kelayakan yang ketat,16
KMP-00080,bola,Kompas,K1,Title,semarak turnamen khusus pelajar di pik 2 cabor gokar paling diminati,11
KMP-00081,tekno,Kompas,K1,Title,download poster hari raya nyepi 2026 gratis cocok untuk ucapan di media sosial,13
KMP-00082,bola,Kompas,K1,Title,kelegaan carlos franca usai persijap lolos dari degradasi,8
KMP-00083,money,Kompas,K1,Title,harga cpo anjlok 2 7 persen nikel dan timah turut melemah,11
KMP-00084,global,Kompas,K1,Title,trump ungkap detik detik kapal as tembaki kapal kargo iran di teluk oman,13
KMP-00085,money,Kompas,K1,Title,dampak nyata fluktuasi dolar terhadap ekonomi pedesaan,7
KMP-00086,global,Kompas,K1,Title,drone dari wilayah rusia jatuh di latvia nato langsung terbangkan jet temnpur,12
KMP-00087,global,Kompas,K1,Title,tanggapi santai penarikan 5 000 tentara as jerman agak dilebih lebihkan,11
KMP-00088,global,Kompas,K1,Title,dpr filipina sepakat makzulkan wapres sara duterte karier politik terancam hancur,11
KMP-00089,tekno,Kompas,K1,Title,update harga iphone 15 second jelang lebaran 2026 mulai rp 9 jutaan,12
KMP-00090,tekno,Kompas,K1,Title,ipad air m4 resmi rilis di indonesia ini harganya,9
KMP-00091,money,Kompas,K1,Title,bulog sebut minyakita terbatas kemendag dari produsen sudah 48 persen,10
KMP-00092,tekno,Kompas,K1,Title,daftar harga hp samsung terbaru 5 mei 2026 di indonesia lengkap,11
KMP-00093,tekno,Kompas,K1,Title,amd rilis ryzen ai 400 series cpu desktop dan laptop dengan npu hingga 60 tops,15
KMP-00094,bola,Kompas,K1,Title,pesan pramono anung untuk persija jelang hadapi persib di super league 2025 2026,13
KMP-00095,global,Kompas,K1,Title,iran akan bantu kapal kapal di selat hormuz siapkan pasokan dan medis,12
KMP-00096,global,Kompas,K1,Title,ukraina kini pakai robot untuk perang tak perlu korbankan nyawa,10
KMP-00097,tekno,Kompas,K1,Title,xbox belum mati microsoft siapkan konsol baru project helix,9
KMP-00098,tekno,Kompas,K1,Title,meta resmi cabut fitur enkripsi di dm instagram,8
KMP-00099,tekno,Kompas,K1,Title,link dan cara beli tiket the weeknd jakarta general on sale harga mulai rp 950 ribu,16
KMP-00100,money,Kompas,K1,Title,jangan tertipu modus fake bts bisa bobol rekening segera ubah pengiriman otp di mybca,14
KMP-00101,bola,Kompas,K1,Title,marc klok diam diam beri bonus untuk adam alis usai bungkam persija,12
KMP-00102,money,Kompas,K1,Title,kai logistik bangun gudang modern di bandung dan purwokerto,9
KMP-00103,global,Kompas,K1,Title,jepang belum siap minta bantuan iran lewati selat hormuz meski ditawari teheran,12
KMP-00104,tekno,Kompas,K1,Title,foto nightography dengan samsung galaxy a57 terang detail warna keluar,10
KMP-00105,money,Kompas,K1,Title,rupiah melemah ke level 17 400 bos bi sebut karena faktor global dan musiman,14
KMP-00106,bola,Kompas,K1,Title,media italia puji emil audero usai tepis penalti scott mctominay,10
KMP-00107,bola,Kompas,K1,Title,sabar reza minta maaf usai indonesia gagal lolos grup piala thomas 2026,12
KMP-00108,tekno,Kompas,K1,Title,vendor china salip apple hadirkan teknologi iphone masa depan lebih dulu,11
KMP-00109,tekno,Kompas,K1,Title,google rilis ai pomelli di indonesia mudahkan umkm bikin materi pomosi,11
KMP-00110,bola,Kompas,K1,Title,indonesia masuk grup neraka piala uber putri kw bisa tiru gregoria,11
KMP-00111,money,Kompas,K1,Title,bi rate bend it like beckham,6
KMP-00112,money,Kompas,K1,Title,kb bank bbkp kucurkan kredit rp 80 miliar untuk pengembangan citimall dumai,12
KMP-00113,global,Kompas,K1,Title,china bujuk iran buka selat hormuz minta jamin keselamatan,9
KMP-00114,bola,Kompas,K1,Title,hasil liverpool vs chelsea 1 1 gagal menang lagi the reds terancam turun posisi,14
KMP-00115,tekno,Kompas,K1,Title,tni au borong 12 jet pilatus pc 24 jajaki 24 pesawat latih pc 21,14
KMP-00116,global,Kompas,K1,Title,kapal rohingya tujuan malaysia terbalik 250 orang hilang,8
KMP-00117,tekno,Kompas,K1,Title,100 ucapan hari kebangkitan nasional 2026 penuh semangat dan inspiratif,10
KMP-00118,bola,Kompas,K1,Title,psm makassar vs persib marc klok bicara mentalitas jelang duel penentuan juara,12
KMP-00119,bola,Kompas,K1,Title,inter milan ke final coppa italia chivu bisa seperti mourinho,10
KMP-00120,global,Kompas,K1,Title,youtube blokir video ai bergaya lego pro iran teheran meradang,10
KMP-00121,money,Kompas,K1,Title,risiko global naik pemerintah jaga daya beli lewat insentif dan harga energi,12
KMP-00122,global,Kompas,K1,Title,perang selalu nihil alasan pembenar,5
KMP-00123,tekno,Kompas,K1,Title,induk facebook instagram whatsapp kehilangan 20 juta pengguna kenapa,9
KMP-00124,money,Kompas,K1,Title,pencurian tas lululemon di bandara soetta injourney pelaku bukan karyawan kami,11
KMP-00125,global,Kompas,K1,Title,kirim surat trump jelaskan alasan tak libatkan kongres dalam perang iran,11
KMP-00126,global,Kompas,K1,Title,min aung hlaing akan jadi presiden myanmar lengser dari panglima militer,11
KMP-00127,global,Kompas,K1,Title,komandan militer as akan beri arahan ke trump soal perang iran,11
KMP-00128,global,Kompas,K1,Title,serangan as israel bikin iran rugi rp 4 626 triliun,10
KMP-00129,tekno,Kompas,K1,Title,produsen kloset toto panen besar di era ai,8
KMP-00130,bola,Kompas,K1,Title,fifa naikkan harga tiket piala dunia 2026 kongres as layangkan protes keras,12
KMP-00131,money,Kompas,K1,Title,tarif listrik per kwh 12 17 mei 2026 untuk semua golongan pelanggan pln,13
KMP-00132,global,Kompas,K1,Title,sultan brunei terbangkan sendiri pesawatnya ke ktt asean 2026 di filipina,11
KMP-00133,bola,Kompas,K1,Title,puja puji media italia untuk penyelamatan terbang emil audero,9
KMP-00134,money,Kompas,K1,Title,bps minta pemerintah soroti kenaikan harga bawang merah,8
KMP-00135,tekno,Kompas,K1,Title,fitur take notes berbasis ai google meet diperluas kini bisa dipakai di zoom hingga rapat offline,16
KMP-00136,tekno,Kompas,K1,Title,hp iqoo 15r resmi bawa baterai besar dan refresh rate tinggi,11
KMP-00137,bola,Kompas,K1,Title,agenda tur chelsea di asia tenggara kunjungi indonesia dulu sebelum malaysia,11
KMP-00138,money,Kompas,K1,Title,tol bocimi sempat lumpuh akibat longsor kini kembali normal,9
KMP-00139,bola,Kompas,K1,Title,kata kata fabio grosso usai hasil sassuolo vs ac milan 2 0,12
KMP-00140,tekno,Kompas,K1,Title,daftar roster lengkap mpl id s17 pro player filipina debut di onic,12
KMP-00141,bola,Kompas,K1,Title,unai emery rajai liga europa usai bawa aston villa juara,10
KMP-00142,tekno,Kompas,K1,Title,beda dari as china larang perusahaan phk karyawan karena diganti ai,11
KMP-00143,money,Kompas,K1,Title,bitcoin jatuh ke 79 000 dollar as sinyal bahaya atau peluang beli,12
KMP-00144,bola,Kompas,K1,Title,arsenal akhir penantian 8 060 hari dan energi dari bohlam sakti,11
KMP-00145,tekno,Kompas,K1,Title,pengguna instagram keluhkan follower berkurang bukan karena bug,8
KMP-00146,money,Kompas,K1,Title,harga emas di pegadaian 6 mei 2026 galeri 24 dan ubs kompak turun,13
KMP-00147,money,Kompas,K1,Title,ihsg tertekan hingga kamis 21 5 lo kheng hong justru serok saham ini,13
KMP-00148,bola,Kompas,K1,Title,potensi revolusi besar di ac milan allegri dan ceo terancam pergi,11
KMP-00149,bola,Kompas,K1,Title,demi piala dunia 2026 estevao balik ke brasil jalani rehabilitasi,10
KMP-00150,global,Kompas,K1,Title,iran klaim hancurkan gudang anti drone ukraina di uea kyiv buka suara,12
KMP-00151,money,Kompas,K1,Title,in this economy warga ubah gaya hidup demi bertahan di tengah ketidakpastian,12
KMP-00152,money,Kompas,K1,Title,cara menonaktifkan kepesertaan bpjs ketenagakerjaan berikut langkahnya,7
KMP-00153,global,Kompas,K1,Title,detik detik berakhirnya gencatan senjata as iran damai atau perang lagi,11
KMP-00154,tekno,Kompas,K1,Title,kesan pertama menggenggam tecno camon 50 desain dual tone yang memikat mata,12
KMP-00155,money,Kompas,K1,Title,harga emas antam di pegadaian 21 mei 2026 cek daftar terbarunya,11
KMP-00156,money,Kompas,K1,Title,usai kecelakaan bekasi kai ganti nama argo bromo anggrek jadi ka anggrek,12
KMP-00157,money,Kompas,K1,Title,purbaya kondisi orang susah akan semakin berkurang dalam 6 bulan,10
KMP-00158,bola,Kompas,K1,Title,roberto martinez ungkap bintang premier league yang tolak timnas portugal,10
KMP-00159,money,Kompas,K1,Title,update harga emas pegadaian hari ini 19 mei kompak menguat ubs naik rp 57 000,15
KMP-00160,global,Kompas,K1,Title,china tiba tiba tutup langit 40 hari larang terbang tanpa penjelasan,11
KMP-00161,bola,Kompas,K1,Title,pelatih southampton terancam sanksi berat imbas skandal mata mata di play off promosi,13
KMP-00162,global,Kompas,K1,Title,negosiasi as iran dimulai delegasi 2 kubu temui pm pakistan,10
KMP-00163,tekno,Kompas,K1,Title,microsoft surface laptop 8 dan surface pro 12 resmi bawa prosesor intel panther lake,14
KMP-00164,bola,Kompas,K1,Title,guardiola ingin man city manfaatkan situasi jika arsenal terjegal,9
KMP-00165,bola,Kompas,K1,Title,reaksi hansi flick usai barcelona pastikan keunggulan 11 poin atas real madrid,12
KMP-00166,bola,Kompas,K1,Title,final liga champions enrique singgung pengaruh guardiola ke arteta,9
KMP-00167,tekno,Kompas,K1,Title,samsung galaxy a07 5g rilis di indonesia hp rp 2 jutaan baterai 6 000 mah,15
KMP-00168,tekno,Kompas,K1,Title,robot anjing mulai amankan data center bisa deteksi kerusakan dan ancaman,11
KMP-00169,tekno,Kompas,K1,Title,sony diskon game ps4 dan ps5 ea sports fc 2026 jadi rp 500 000 an,15
KMP-00170,bola,Kompas,K1,Title,marc marquez jelang motogp spanyol 2026 enggan menangis meski luka,10
KMP-00171,bola,Kompas,K1,Title,veda ega fantastis di moto3 perancis duduk di 5 besar klasemen moto3,12
KMP-00172,tekno,Kompas,K1,Title,link dan cara tukar uang baru lebaran 2026 online via pintar bi,12
KMP-00173,money,Kompas,K1,Title,brand perlu ubah cara dekati pelanggan di era algoritma rcs bisa jadi solusi,13
KMP-00174,money,Kompas,K1,Title,saham goto diborong danantara kepemilikan masih di bawah 1 persen,10
KMP-00175,bola,Kompas,K1,Title,allegri buka suara soal nasibnya di ac milan usai gagal lolos liga champions,13
KMP-00176,bola,Kompas,K1,Title,dua syarat yang wajib dipenuhi ac milan jika ingin modric bertahan di san siro,14
KMP-00177,global,Kompas,K1,Title,cerita wni di maroko idul adha semarak lagi usai krisis panjang,11
KMP-00178,tekno,Kompas,K1,Title,samsung galaxy m17e 5g meluncur hp 5g murah dengan baterai 6 000 mah,13
KMP-00179,global,Kompas,K1,Title,populer global durian runtuh amerika korsel perancis sepakat amankan selat hormuz,11
KMP-00180,money,Kompas,K1,Title,promo jsm indomaret hari ini 15 17 mei 2026 diskon harga rinso dan soklin,14
KMP-00181,tekno,Kompas,K1,Title,membandingkan infinix note 60 ultra vs infinix note 60 pro di indonesia,12
KMP-00182,global,Kompas,K1,Title,pentagon rilis 160 dokumen rahasia ufo ada mata sauron,9
KMP-00183,money,Kompas,K1,Title,menurunkan bunga kredit umkm di bawah 9 persen,8
KMP-00184,global,Kompas,K1,Title,perang meme sebagai katarsis global menggugat hegemoni dan keserakahan,9
KMP-00185,money,Kompas,K1,Title,pertamina kabar pertalite dilarang untuk mobil di atas 1 400 cc hoaks,12
KMP-00186,tekno,Kompas,K1,Title,5 hp baru dengan baterai 7 000 mah di indonesia bisa jadi powerbank,13
KMP-00187,bola,Kompas,K1,Title,hasil sprint race motogp catalunya 2026 alex marquez menang dramatis,10
KMP-00188,money,Kompas,K1,Title,cek harga bbm pertamina per 1 mei 2026 harga pertamax tetap,11
KMP-00189,bola,Kompas,K1,Title,syarat mutlak inter milan raih scudetto pekan depan,8
KMP-00190,bola,Kompas,K1,Title,robert lewandowski akan tinggalkan barcelona pilih ke arab saudi atau mls,11
KMP-00191,tekno,Kompas,K1,Title,patuhi pp tunas tiktok hapus akun anak di bawah usia 16 tahun,12
KMP-00192,global,Kompas,K1,Title,kuba krisis energi sampai minyak habis total bos cia tiba tiba datang,12
KMP-00193,global,Kompas,K1,Title,drone murah terra drone bakal jadi perisai baru negara teluk,10
KMP-00194,global,Kompas,K1,Title,uea bantah laporan kunjungan rahasia netanyahu,6
KMP-00195,tekno,Kompas,K1,Title,hp vivo y600 pro meluncur bawa baterai jumbo 10 200 mah,11
KMP-00196,global,Kompas,K1,Title,dk pbb berselisih soal perang iran rusia china bentrok dengan as,11
KMP-00197,bola,Kompas,K1,Title,pelatih persib yakin persija kecewa tak di posisi pertama meski belanja banyak pemain,13
KMP-00198,global,Kompas,K1,Title,jelang kemungkinan berakhirnya perang as dan iran makin hati hati,10
KMP-00199,bola,Kompas,K1,Title,megawati hangestri gabung hyundai hillstate pemegang tiga titel liga voli korea,11
KMP-00200,global,Kompas,K1,Title,20 kapal langsung balik arah usai iran tutup selat hormuz lagi,11
