dataset,conflict_group,group_size,jumlah_label,document_id,source_row,class_index,category,title,description,review_status
AG News Train,1,2,2,AGN-TRAIN-004672,4672,3,business,Amazon to purchase Chinese on-line retailer,"Amazon.com Inc. has agreed to buy Joyo.com, China #39;s largest on-line retailer of books, music and videos, for \$75-million (US) to gain access to the world #39;s second-biggest Internet market.",pending_review
AG News Train,1,2,2,AGN-TRAIN-005654,5654,4,sci_tech,Amazon to purchase Chinese on-line retailer,"Amazon.com Inc. has agreed to buy Joyo.com, China #39;s largest on-line retailer of books, music and videos, for \$75-million (US) to gain access to the world #39;s second-biggest Internet market.",pending_review
AG News Train,2,2,2,AGN-TRAIN-011465,11465,3,business,Comcast Subpoenas Elected Leaders In Montgomery Who Favored Union,Two Montgomery County Council members who supported a campaign by employees of Comcast Cable Communications to form a union have been subpoenaed by company attorneys in a federal labor relations case involving a Rockville man who says he was illegally fired by the firm.,pending_review
AG News Train,2,2,2,AGN-TRAIN-011444,11444,4,sci_tech,Comcast Subpoenas Elected Leaders In Montgomery Who Favored Union,Two Montgomery County Council members who supported a campaign by employees of Comcast Cable Communications to form a union have been subpoenaed by company attorneys in a federal labor relations case involving a Rockville man who says he was illegally fired by the firm.,pending_review
AG News Train,3,2,2,AGN-TRAIN-003548,3548,3,business,Demand Helps CACI Profit Increase 56,CACI International Inc. said increased demand for its homeland security and intelligence services helped boost fourth-quarter profit by 56 percent over the same period a year earlier.,pending_review
AG News Train,3,2,2,AGN-TRAIN-004020,4020,4,sci_tech,Demand Helps CACI Profit Increase 56,CACI International Inc. said increased demand for its homeland security and intelligence services helped boost fourth-quarter profit by 56 percent over the same period a year earlier.,pending_review
AG News Train,4,2,2,AGN-TRAIN-016069,16069,3,business,Enron Broadband Chief Makes Deal,"The chief operating officer of Enron Corp.'s failed Internet unit pleaded guilty yesterday to a single criminal conspiracy charge and agreed to cooperate with the government, as prosecutors continued to build their case against the Houston energy company's top leaders.",pending_review
AG News Train,4,2,2,AGN-TRAIN-016110,16110,4,sci_tech,Enron Broadband Chief Makes Deal,"The chief operating officer of Enron Corp.'s failed Internet unit pleaded guilty yesterday to a single criminal conspiracy charge and agreed to cooperate with the government, as prosecutors continued to build their case against the Houston energy company's top leaders.",pending_review
AG News Train,5,2,2,AGN-TRAIN-092078,92078,1,world,Europe probe arrives at the Moon,"The Smart 1 lunar probe has entered into orbit around the Moon, the first ever European mission to do so.",pending_review
AG News Train,5,2,2,AGN-TRAIN-092070,92070,4,sci_tech,Europe probe arrives at the Moon,"The Smart 1 lunar probe has entered into orbit around the Moon, the first ever European mission to do so.",pending_review
AG News Train,6,2,2,AGN-TRAIN-117521,117521,3,business,FCC Considers Cell Phone Use On Airplanes,"Air travelers moved one step closer to being able to talk on cell phones and surf the Internet from laptops while in flight, thanks to votes by the Federal Communications Commission yesterday.",pending_review
AG News Train,6,2,2,AGN-TRAIN-117539,117539,4,sci_tech,FCC Considers Cell Phone Use On Airplanes,"Air travelers moved one step closer to being able to talk on cell phones and surf the Internet from laptops while in flight, thanks to votes by the Federal Communications Commission yesterday.",pending_review
AG News Train,7,2,2,AGN-TRAIN-093255,93255,3,business,Four Companies Plan Expansion in Virginia,"Four companies are planning to hire more than 10,000 workers for new homeland security-related jobs in Virginia over the next five years, Gov. Mark R. Warner is to announce today.",pending_review
AG News Train,7,2,2,AGN-TRAIN-093558,93558,4,sci_tech,Four Companies Plan Expansion in Virginia,"Four companies are planning to hire more than 10,000 workers for new homeland security-related jobs in Virginia over the next five years, Gov. Mark R. Warner is to announce today.",pending_review
AG News Train,8,2,2,AGN-TRAIN-045886,45886,3,business,"From Spam To Lacrosse, A Day for The Books","New laws aimed at prosecuting big-time Internet spammers, helping small businesses and elevating lacrosse to the status of ""state team sport"" will become effective today in Maryland.",pending_review
