stage,duplicate_type,document_id,class_index,category,title,description,duplicate_key
sebelum_cleaning,label_conflict,AGN-TRAIN-004672,3,business,Amazon to purchase Chinese on-line retailer,"Amazon.com Inc. has agreed to buy Joyo.com, China #39;s largest on-line retailer of books, music and videos, for \$75-million (US) to gain access to the world #39;s second-biggest Internet market.","amazon to purchase chinese on-line retailer || amazon.com inc. has agreed to buy joyo.com, china #39;s largest on-line retailer of books, music and videos, for \$75-million (us) to gain access to the world #39;s second-biggest internet market."
sebelum_cleaning,label_conflict,AGN-TRAIN-005654,4,sci_tech,Amazon to purchase Chinese on-line retailer,"Amazon.com Inc. has agreed to buy Joyo.com, China #39;s largest on-line retailer of books, music and videos, for \$75-million (US) to gain access to the world #39;s second-biggest Internet market.","amazon to purchase chinese on-line retailer || amazon.com inc. has agreed to buy joyo.com, china #39;s largest on-line retailer of books, music and videos, for \$75-million (us) to gain access to the world #39;s second-biggest internet market."
sebelum_cleaning,label_conflict,AGN-TRAIN-011465,3,business,Comcast Subpoenas Elected Leaders In Montgomery Who Favored Union,Two Montgomery County Council members who supported a campaign by employees of Comcast Cable Communications to form a union have been subpoenaed by company attorneys in a federal labor relations case involving a Rockville man who says he was illegally fired by the firm.,comcast subpoenas elected leaders in montgomery who favored union || two montgomery county council members who supported a campaign by employees of comcast cable communications to form a union have been subpoenaed by company attorneys in a federal labor relations case involving a rockville man who says he was illegally fired by the firm.
sebelum_cleaning,label_conflict,AGN-TRAIN-011444,4,sci_tech,Comcast Subpoenas Elected Leaders In Montgomery Who Favored Union,Two Montgomery County Council members who supported a campaign by employees of Comcast Cable Communications to form a union have been subpoenaed by company attorneys in a federal labor relations case involving a Rockville man who says he was illegally fired by the firm.,comcast subpoenas elected leaders in montgomery who favored union || two montgomery county council members who supported a campaign by employees of comcast cable communications to form a union have been subpoenaed by company attorneys in a federal labor relations case involving a rockville man who says he was illegally fired by the firm.
sebelum_cleaning,label_conflict,AGN-TRAIN-003548,3,business,Demand Helps CACI Profit Increase 56,CACI International Inc. said increased demand for its homeland security and intelligence services helped boost fourth-quarter profit by 56 percent over the same period a year earlier.,demand helps caci profit increase 56 || caci international inc. said increased demand for its homeland security and intelligence services helped boost fourth-quarter profit by 56 percent over the same period a year earlier.
sebelum_cleaning,label_conflict,AGN-TRAIN-004020,4,sci_tech,Demand Helps CACI Profit Increase 56,CACI International Inc. said increased demand for its homeland security and intelligence services helped boost fourth-quarter profit by 56 percent over the same period a year earlier.,demand helps caci profit increase 56 || caci international inc. said increased demand for its homeland security and intelligence services helped boost fourth-quarter profit by 56 percent over the same period a year earlier.
sebelum_cleaning,label_conflict,AGN-TRAIN-016069,3,business,Enron Broadband Chief Makes Deal,"The chief operating officer of Enron Corp.'s failed Internet unit pleaded guilty yesterday to a single criminal conspiracy charge and agreed to cooperate with the government, as prosecutors continued to build their case against the Houston energy company's top leaders.","enron broadband chief makes deal || the chief operating officer of enron corp.'s failed internet unit pleaded guilty yesterday to a single criminal conspiracy charge and agreed to cooperate with the government, as prosecutors continued to build their case against the houston energy company's top leaders."
sebelum_cleaning,label_conflict,AGN-TRAIN-016110,4,sci_tech,Enron Broadband Chief Makes Deal,"The chief operating officer of Enron Corp.'s failed Internet unit pleaded guilty yesterday to a single criminal conspiracy charge and agreed to cooperate with the government, as prosecutors continued to build their case against the Houston energy company's top leaders.","enron broadband chief makes deal || the chief operating officer of enron corp.'s failed internet unit pleaded guilty yesterday to a single criminal conspiracy charge and agreed to cooperate with the government, as prosecutors continued to build their case against the houston energy company's top leaders."
sebelum_cleaning,label_conflict,AGN-TRAIN-092078,1,world,Europe probe arrives at the Moon,"The Smart 1 lunar probe has entered into orbit around the Moon, the first ever European mission to do so.","europe probe arrives at the moon || the smart 1 lunar probe has entered into orbit around the moon, the first ever european mission to do so."
sebelum_cleaning,label_conflict,AGN-TRAIN-092070,4,sci_tech,Europe probe arrives at the Moon,"The Smart 1 lunar probe has entered into orbit around the Moon, the first ever European mission to do so.","europe probe arrives at the moon || the smart 1 lunar probe has entered into orbit around the moon, the first ever european mission to do so."
sebelum_cleaning,label_conflict,AGN-TRAIN-117521,3,business,FCC Considers Cell Phone Use On Airplanes,"Air travelers moved one step closer to being able to talk on cell phones and surf the Internet from laptops while in flight, thanks to votes by the Federal Communications Commission yesterday.","fcc considers cell phone use on airplanes || air travelers moved one step closer to being able to talk on cell phones and surf the internet from laptops while in flight, thanks to votes by the federal communications commission yesterday."
sebelum_cleaning,label_conflict,AGN-TRAIN-117539,4,sci_tech,FCC Considers Cell Phone Use On Airplanes,"Air travelers moved one step closer to being able to talk on cell phones and surf the Internet from laptops while in flight, thanks to votes by the Federal Communications Commission yesterday.","fcc considers cell phone use on airplanes || air travelers moved one step closer to being able to talk on cell phones and surf the internet from laptops while in flight, thanks to votes by the federal communications commission yesterday."
sebelum_cleaning,label_conflict,AGN-TRAIN-093255,3,business,Four Companies Plan Expansion in Virginia,"Four companies are planning to hire more than 10,000 workers for new homeland security-related jobs in Virginia over the next five years, Gov. Mark R. Warner is to announce today.","four companies plan expansion in virginia || four companies are planning to hire more than 10,000 workers for new homeland security-related jobs in virginia over the next five years, gov. mark r. warner is to announce today."
sebelum_cleaning,label_conflict,AGN-TRAIN-093558,4,sci_tech,Four Companies Plan Expansion in Virginia,"Four companies are planning to hire more than 10,000 workers for new homeland security-related jobs in Virginia over the next five years, Gov. Mark R. Warner is to announce today.","four companies plan expansion in virginia || four companies are planning to hire more than 10,000 workers for new homeland security-related jobs in virginia over the next five years, gov. mark r. warner is to announce today."
sebelum_cleaning,label_conflict,AGN-TRAIN-045886,3,business,"From Spam To Lacrosse, A Day for The Books","New laws aimed at prosecuting big-time Internet spammers, helping small businesses and elevating lacrosse to the status of ""state team sport"" will become effective today in Maryland.","from spam to lacrosse, a day for the books || new laws aimed at prosecuting big-time internet spammers, helping small businesses and elevating lacrosse to the status of ""state team sport"" will become effective today in maryland."
sebelum_cleaning,label_conflict,AGN-TRAIN-046382,4,sci_tech,"From Spam To Lacrosse, A Day for The Books","New laws aimed at prosecuting big-time Internet spammers, helping small businesses and elevating lacrosse to the status of ""state team sport"" will become effective today in Maryland.","from spam to lacrosse, a day for the books || new laws aimed at prosecuting big-time internet spammers, helping small businesses and elevating lacrosse to the status of ""state team sport"" will become effective today in maryland."
sebelum_cleaning,label_conflict,AGN-TRAIN-066911,3,business,General Dynamics Posts Profit,Defense contractor General Dynamics Corp. reported a 23 percent jump in profit in its third quarter yesterday despite escalating costs on a contract to build commercial oil tankers.,general dynamics posts profit || defense contractor general dynamics corp. reported a 23 percent jump in profit in its third quarter yesterday despite escalating costs on a contract to build commercial oil tankers.
sebelum_cleaning,label_conflict,AGN-TRAIN-067214,4,sci_tech,General Dynamics Posts Profit,Defense contractor General Dynamics Corp. reported a 23 percent jump in profit in its third quarter yesterday despite escalating costs on a contract to build commercial oil tankers.,general dynamics posts profit || defense contractor general dynamics corp. reported a 23 percent jump in profit in its third quarter yesterday despite escalating costs on a contract to build commercial oil tankers.
