split,duplicate_group,group_size,document_id,source_row,class_index,category,title,description
train,1,2,AGN-TRAIN-042967,42967,1,world,'American Taliban' Seeks Commuted Sentence,"SAN FRANCISCO - John Walker Lindh asked President Bush on Tuesday to commute his 20-year prison sentence for aiding the Taliban. His lawyer, James Brosnahan, said that Lindh was fighting alongside the Taliban in a civil war against the Northern Alliance, that he is not a terrorist and that he never fought against U.S..."
train,1,2,AGN-TRAIN-043232,43232,1,world,'American Taliban' Seeks Commuted Sentence,"SAN FRANCISCO - John Walker Lindh asked President Bush on Tuesday to commute his 20-year prison sentence for aiding the Taliban. His lawyer, James Brosnahan, said that Lindh was fighting alongside the Taliban in a civil war against the Northern Alliance, that he is not a terrorist and that he never fought against U.S..."
train,2,2,AGN-TRAIN-039463,39463,1,world,Al-Qaida Aims to Disrupt Afghan Elections,"KABUL, Afghanistan - U.S.-led forces trying to protect landmark Afghan elections face a rising wave of violence from about 2,000 insurgents, including al-Qaida militants slipping in from Pakistan, an American general said Saturday. In the latest bloodshed, Afghan police said suspected Taliban gunmen killed nine militia soldiers in two attacks on checkpoints in a troubled southern province..."
train,2,2,AGN-TRAIN-039719,39719,1,world,al-Qaida Aims to Disrupt Afghan Elections,"KABUL, Afghanistan - U.S.-led forces trying to protect landmark Afghan elections face a rising wave of violence from about 2,000 insurgents, including al-Qaida militants slipping in from Pakistan, an American general said Saturday. In the latest bloodshed, Afghan police said suspected Taliban gunmen killed nine militia soldiers in two attacks on checkpoints in a troubled southern province..."
train,3,2,AGN-TRAIN-025848,25848,1,world,Australians 'kidnapped' in Iraq,Australia is investigating reports that two of its citizens have been taken hostage by militants in Iraq.
train,3,2,AGN-TRAIN-025956,25956,1,world,Australians 'kidnapped' in Iraq,Australia is investigating reports that two of its citizens have been taken hostage by militants in Iraq.
train,4,2,AGN-TRAIN-001936,1936,1,world,Blast in Gaza Home of Hamas Man Kills 4 - Medics,"GAZA (Reuters) - An explosion tore through the home of a senior Hamas militant in Gaza on Wednesday, killing at least four people and wounding him and about a dozen other Palestinians, medics said."
train,4,2,AGN-TRAIN-001966,1966,1,world,Blast in Gaza Home of Hamas Man Kills 4 - Medics,"GAZA (Reuters) - An explosion tore through the home of a senior Hamas militant in Gaza on Wednesday, killing at least four people and wounding him and about a dozen other Palestinians, medics said."
train,5,2,AGN-TRAIN-005310,5310,1,world,IRS: Rose Owes Nearly \$1M in Unpaid Taxes,"MIAMI - Pete Rose is back in trouble with the Internal Revenue Service, which says the baseball great owes nearly \$1 million in unpaid taxes. The IRS filed a federal tax lien in Broward County on Tuesday alleging that baseball's all-time hits king owes \$973,693.28 in back taxes from 1997 to 2002..."
train,5,2,AGN-TRAIN-005344,5344,1,world,IRS: Rose Owes Nearly \$1M in Unpaid Taxes,"MIAMI - Pete Rose is back in trouble with the Internal Revenue Service, which says the baseball great owes nearly \$1 million in unpaid taxes. The IRS filed a federal tax lien in Broward County on Tuesday alleging that baseball's all-time hits king owes \$973,693.28 in back taxes from 1997 to 2002..."
