document_id,title,description,content,date,category,link,duplicate_type,dataset,class_index,split
KMP-04685,Bos Facebook Tinggalkan Kursi CEO dan Jadi Programer Lagi,Mark Zuckerberg dilaporkan mendadak pindah dari meja kerjanya sekarang dan kembali jadi programer seperti awal dia mendirikan Facebook.,"Saking ambisiusnya, pendiri Facebook ini rela ""turun gunung"", meninggalkan meja kebesarannya, dan memindahkan ruang kerjanya agar bisa ikut coding langsung bersama para periset AI. Manuver tak biasa ini tentu menjadi ironi tersendiri. Pasalnya, di saat pakar menggembar-gemborkan bahwa coding mulai menjadi skill yang usang akibat AI, Zuckerberg justru kembali menjadi programer. (Baca: 10 Profesi yang Kini Paling Rentan Tergusur AI ) Zuckerberg dilaporkan telah menata ulang dan memindahkan meja kerjanya secara permanen ke fasilitas lab kecerdasan buatan milik Meta . Di sana, ia kini duduk berdampingan langsung dengan tokoh-tokoh kunci pengembangan AI perusahaan, yakni Kepala AI Meta Alexandr Wang dan mantan CEO GitHub Nat Friedman. Informasi ""ordal"" ini dibocorkan langsung oleh Presiden Meta, Dina Powell McCormick, saat berbicara di acara Semafor World Economy Summit di Washington, D.C. ""Mark benar-benar telah memindahkan mejanya. Dia sekarang duduk di lab AI bersama Alex Wang dan Nat Friedman, dan dia menulis program sepanjang hari,"" ungkap McCormick. Di tengah kesibukannya memimpin salah satu perusahaan paling berharga di dunia, Zuckerberg menyediakan waktu khusus sekitar 5 hingga 10 jam setiap minggunya murni untuk menulis dan meninjau baris kode dari berbagai proyek AI yang sedang dikerjakan timnya. Tentu saja, kehadiran ""bos besar"" yang tiba-tiba ikut campur di ruang riset teknis ini bisa memicu rasa canggung. McCormick bahkan sempat bercanda, membayangkan dirinya sebagai karyawan tim riset AI. ""Di satu sisi, mereka (para periset) mungkin merasa, 'Oh luar biasa, ada tambahan masukan lagi dari Anda, Mark, saat Anda ikut coding',"" ujar McCormick, seperti dihimpun KompasTekno dari BusinessInsider. Meski terdengar seperti micro-management , McCormick menegaskan bahwa langkah tersebut merupakan bentuk komitmen personal Zuckerberg yang sangat tinggi. Menurut dia, Zuckerberg ingin memahami betul seluruh seluk-beluk dan hambatan teknis demi merakit model bahasa AI yang paling canggih. Ilustrasi dibuat dengan AI. Ilustrasi meja kerja Mark Zuckerberg di lab riset Meta. Perubahan gaya kerja Zuckerberg ini sekaligus menjadi sinyal peringatan keras bagi para rivalnya, seperti OpenAI (kreator ChatGPT), Google (Gemini), hingga Anthropic. Meta memang sempat dicibir karena dianggap telat panas dan tertinggal di garis start perlombaan AI generatif. Untuk mengejar ketertinggalan tersebut, Meta baru-baru ini melakukan restrukturisasi besar-besaran dengan membentuk divisi Superintelligence Labs. Tak tanggung-tanggung, demi membangun tim ""pembunuh"" ChatGPT, Meta sampai rela menggelontorkan dana fantastis sebesar 15 miliar dollar AS (sekitar Rp 255 triliun) ke startup infrastruktur AI Scale AI. Langkah ini menjadi kunci bagi Meta untuk memboyong pendiri Scale AI, Alexandr Wang, agar mau memimpin divisi baru tersebut bersama Nat Friedman yang sudah bergabung lebih dulu. Dengan memosisikan dirinya langsung di dapur inovasi tersebut, Zuckerberg berharap Meta tak sekadar menjadi pengekor, melainkan bisa segera merebut takhta sebagai raja AI di Silicon Valley. A post shared by Tekno Kompas.com (@teknokompas)",2026-04-20 06:52:00,tekno,https://tekno.kompas.com/read/2026/04/18/07580007/bos-facebook-tinggalkan-kursi-ceo-dan-jadi-programer-lagi,normalized_content,Kompas,,
KMP-07577,10 Trik Lihat Story Instagram Tanpa Ketahuan dengan Mudah,Story Instagram bisa dilihat tanpa ketahuan pemiliknya. Ada beberapa cara melihat Story IG tanpa diketahui yang bisa dilakukan.,"Jika ingin menonton dengan lebih privasi, pengguna sejatinya ada cara melihat Story IG tanpa diketahui pemiliknya. Lantas, bagaimana cara melihat Story IG tanpa diketahui ? Simak di bawah ini tentang cara melihat Instagram Stories tanpa ketahuan. Cara melihat Story Instagram tanpa diketahui pembuatnya itu sejatinya cukup mudah. Ada banyak pilihan cara melihat Story IG tanpa ketahuan yang bisa dilakukan pengguna. Untuk melakukannya, pengguna bisa memanfaatkan layanan dari website dan aplikasi pihak ketiga. Selain itu, pengguna juga bisa melihat Story IG secara lebih privasi tanpa menggunakan layanan dari platform pihak ketiga. Adapun penjelasan yang lebih lengkap soal beberapa cara melihat Story IG tanpa ketahuan adalah sebagai berikut. Cara melihat Instagram Stories tanpa ketahuan yang pertama adalah dengan mengintip Story IG secara perlahan. Caranya, pengguna bisa mengintip Story IG yang ingin dilihat tanpa ketahuan di jendela peralihan Story dari Story akun sebelumnya. Misalnya, pengguna ingin mengintip Instagram Story dari pengguna @B. Kemudian, di samping kiri Instagram Story @B, terdapat Story dari akun sebelumnya yang misalnya milik akun @A. Untuk melihat Story IG dari akun @B tanpa ketahuan, pengguna bisa memulai dengan melihat dulu Story IG dari akun sebelumnya, yakni akun @A. Setelah itu, pengguna bisa menggeser secara perlahan Story IG akun @A untuk menuju ke Story IG dari akun @B. Geser secara perlahan hingga muncul jendela peralihan Story. Di jendela itu, pengguna bisa mengintip isi Story dari akun @B. Untuk tidak ketahuan, pengguna jangan sampe menggeser jendela peralihan itu, sehingga Story IG akun @B tayang secara penuh. Cara melihat Story Instagram tanpa diketahui pemiliknya yang kedua adalah dengan mengaktifkan mode pesawat. Adapun penjelasan caranya adalah sebagai berikut: Ketiga, pengguna bisa memakai ekstensi atau program mini di Google Chrome. Ada banyak ekstensi di Chrome yang memungkinkan pengguna melihat Story IG tanpa ketahuan. Salah satunya adalah ekstensi “Aplikasi Cerita IG untuk Instagram”. Adapun penjelasan cara melihat Story IG tanpa diketahui menggunakan ekstensi di Chrome adalah sebagai berikut: Keempat, pengguna bisa memakai website Story Saver untuk melihat Story IG tanpa ketahuan. Di website ini, pengguna juga bisa mengunduh Story IG yang dibuat orang lain. Adapun caranya adalah sebagai berikut: Cara melihat Story IG tanpa diketahui pemiliknya yang kelima adalah dengan menggunakan website Anonyig. Di website ini, pengguna dapat mengunduh Story IG yang dibuat orang lain dan melihatnya secara offline. Adapun penjelasan caranya adalah sebagai berikut: Keenam, pengguna bisa memanfaatkan website Stories IG untuk melihat Story tanpa ketahuan. Di website ini, pengguna juga dapat mengunduh Story IG dari orang lain. Adapun penjelasan caranya adalah sebagai berikut:",2026-05-16 12:35:00,tekno,https://tekno.kompas.com/read/2026/05/16/12350097/10-trik-lihat-story-instagram-tanpa-ketahuan-dengan-mudah,normalized_content,Kompas,,
KMP-09654,Aktifkan Fitur Ini biar WhatsApp Tidak Bisa Ditelepon Tanpa Blokir Kontak,WhatsApp bisa diatur agar tidak bisa ditelepon tanpa diblokir. Begini cara agar WA tidak bisa ditelepon tanpa blokir kontak.,"Sebab, saat kontak diblokir, mereka tidak akan bisa tak akan bisa menghubungi pengguna lagi sama sekali, termasuk melakukan panggilan telepon WhatsApp. Padahal, kontak yang menelepon pengguna itu bisa jadi penting dan tidak mungkin diblokir. Untungnya, WhatsApp bisa diatur agar tidak bisa ditelepon tanpa perlu blokir kontak. Lantas, bagaimana agar WhatsApp tidak bisa ditelepon? Ini cara agar WA agar tidak bisa ditelepon tanpa diblokir dengan mudah. Cara agar WA tidak bisa ditelepon tanpa diblokir itu pada dasarnya cukup mudah. Dalam cara setting WA agar tidak bisa ditelepon tanpa diblokir ini, pengguna tak perlu repot-repot memakai aplikasi tambahan. Pengguna bisa memanfaatkan beberapa fitur bawaan untuk membuat WA tidak bisa ditelepon tanpa diblokir. Setidaknya, terdapat dua metode yang bisa dilakukan dalam cara agar WA tidak bisa ditelepon tanpa diblokir ini. Pertama, pengguna bisa mengatur agar WhatsApp memblokir otomatis telepon dari nomor tidak dikenal. Kedua, cara setting WA agar tidak bisa ditelepon tanpa diblokir bisa dilakukan dengan mengaktifkan mode DND (Do Not Disturb/Jangan Ganggu) di HP. Adapun penjelasan yang lebih detail dari masing-masing cara agar WA tidak bisa ditelepon tanpa diblokir tersebut adalah sebagai berikut. Cara agar WA tidak bisa ditelepon tanpa diblokir yang pertama adalah memblokir aktivitas panggilan telepon dari nomor tidak dikenal secara otomatis. WhatsApp memiliki fitur yang memungkingkan memblokir otomatis panggilan dari nomor tidak dikenal secara otomatis. Adapun cara mengaktifkan fitur itu adalah sebagai berikut: Cara agar WA tidak bisa ditelepon tanpa diblokir yang berikutnya adalah dengan mengaktifkan mode DND atau Jangan Ganggu di HP. Mode DND dapat menghalau notifikasi dari kontak atau aplikasi di waktu tertentu. Saat mode ini aktif, notifikasi dari aplikasi atau kontak bakal tidak ditampilkan di layar HP sehingga pengguna bisa lebih tenang atau fokus menjalani waktu. Mode DND dapat membuat notifikasi telepon WhatsApp tidak muncul di layar HP. Kemudian, panggilan telepon WhatsApp juga bakal ditolak otomatis. Dengan fitur ini, pengguna tidak akan bisa ditelepon kontak lain di WA tanpa perlu memblokirnya. Adapun cara agar WA tidak bisa ditelepon tanpa diblokir dengan mengaktifkan DND adalah sebagai berikut: Cukup mudah bukan cara setting WA agar tidak bisa ditelepon tanpa diblokir? Dengan dua cara di atas, pengguna tak perlu repot memblokir seseorang agar tidak bisa melakukan panggilan telepon WhatsApp. Pengguna bisa dengan mudah membuat WA tidak bisa ditelepon tanpa diblokir. Demikianlah penjelasan mengenai cara agar WA tidak bisa ditelepon tanpa diblokir dengan mudah dan praktis, semoga bermanfaat.",2026-05-02 18:03:00,tekno,https://tekno.kompas.com/read/2026/05/02/18030067/aktifkan-fitur-ini-biar-whatsapp-tidak-bisa-ditelepon-tanpa-blokir-kontak,normalized_content,Kompas,,
AGN-TRAIN-000538,"Phelps, Thorpe Advance in 200 Freestyle","ATHENS, Greece - Michael Phelps took care of qualifying for the Olympic 200-meter freestyle semifinals Sunday, and then found out he had been added to the American team for the evening's 400 freestyle relay final. Phelps' rivals Ian Thorpe and Pieter van den Hoogenband and teammate Klete Keller were faster than the teenager in the 200 free preliminaries...",,,world,,normalized_title_description,AG News Train,1.0,train
AGN-TRAIN-001496,Housing Starts Rebound Sharply in July,"WASHINGTON (Reuters) - Housing starts rebounded sharply in July, making up almost all the ground lost in a June slump by posting their largest monthly percentage gain since September 2002, a report from the Commerce Department on Tuesday showed.",,,business,,normalized_title_description,AG News Train,3.0,train
AGN-TRAIN-001569,"Sharon Allows 1,000 More Settler Homes in West Bank","JERUSALEM (Reuters) - Prime Minister Ariel Sharon approved tenders to build 1,000 more Israeli settler homes in the occupied West Bank, plans that were shelved earlier to avoid discord with Washington, political sources said Tuesday.",,,world,,normalized_title_description,AG News Train,1.0,train
AGN-TRAIN-001618,Medical Examiner Finds No Injuries on Thanou-Source,"ATHENS (Reuters) - A medical examiner has found that Greek sprinter Katerina Thanou, who was in hospital with fellow athlete Costas Kenteris, had no injuries, a judicial source said on Tuesday.",,,sports,,normalized_title_description,AG News Train,2.0,train
AGN-TRAIN-001687,Microsoft readies Host Integration Server 2004,"In a continued effort to compete with IBM Corp. and its WebSphere offerings, Microsoft Corp. on Tuesday announced imminent availability of Host Integration Server 2004.",,,sci_tech,,normalized_title_description,AG News Train,4.0,train
AGN-TRAIN-001752,IBM adds four-way 550 server to new i5 product line,"IBM Corp. bolstered the new eServer i5 server lineup with the i5 550, a new system based on the Power 5 chip that can run multiple operating systems.",,,sci_tech,,normalized_title_description,AG News Train,4.0,train
AGN-TRAIN-001966,Blast in Gaza Home of Hamas Man Kills 4 - Medics,"GAZA (Reuters) - An explosion tore through the home of a senior Hamas militant in Gaza on Wednesday, killing at least four people and wounding him and about a dozen other Palestinians, medics said.",,,world,,normalized_title_description,AG News Train,1.0,train
